ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,5905.0,6212.68,-4.952,-1643.696,-2460.267,1622.59,2439.161,-95904.9,-146635.8,-106.16,MILD DIP,6514,816.571,2.91,172.0,0.0,4,45,6530.3,9.6,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,5733.3,4300.0,3440.0,2866.7,False
BF-B,Brown-Forman,配当貴族,23.49,27.77,-15.416,-7.846,-12.052,8.977,13.183,25.6,24.4,-8.21,STRONG BUY,11568,4.206,4.87,1.14,4.47,3,72,73.4,68.0,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
4506.T,住友ファーマ,Nikkei225,1835.0,2299.34,-20.194,-13.229,-20.033,13.985,20.789,1995.1,1838.7,-8.03,STRONG BUY,6514,6.804,0.0,0.0,0.0,0,60,3710.7,50.5,True,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,半値／月足GC,2,0.0,0.0,0.0,0.0,False
GPC,Genuine Parts,配当貴族,105.74,122.45,-13.648,-7.245,-11.126,8.279,12.16,113.6,108.8,-6.9,STRONG BUY,11568,3.881,4.9,5.18,4.56,39,72,170.3,37.9,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
PPG,PPG Industries,配当貴族,101.89,119.76,-14.921,-8.67,-13.308,9.881,14.519,109.4,103.8,-6.84,STRONG BUY,11568,4.638,3.43,3.49,3.19,42,60,165.4,38.4,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
SWK,Stanley Black & Decker,配当貴族,70.15,83.39,-15.878,-9.911,-15.103,10.856,16.048,75.1,70.8,-6.62,STRONG BUY,11568,5.192,4.72,3.31,4.41,28,72,185.8,62.2,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
MKC,McCormick,配当貴族,58.29,67.18,-13.23,-8.004,-12.263,9.032,13.291,61.8,58.9,-5.68,STRONG BUY,13354,4.259,3.91,2.28,3.69,27,60,95.9,39.2,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
4188.T,三菱ケミカルG,Nikkei225,924.5,1075.34,-14.028,-10.335,-15.604,10.743,16.013,964.2,907.5,-4.12,BUY ZONE,6514,5.27,3.46,32.0,3.32,0,57,1160.5,20.3,False,False,False,False,False,素材,Specialty Chemicals,—,0,1066.7,800.0,640.0,533.3,False
TFC,Truist Financial,配当貴族,43.83,50.05,-12.43,-9.174,-14.033,10.265,15.125,45.5,43.0,-3.59,BUY ZONE,11567,4.86,5.93,2.6,5.72,0,57,55.3,20.7,False,False,False,False,False,金融,Banks - Regional,—,0,86.7,65.0,52.0,43.3,False
7733.T,オリンパス,Nikkei225,1310.5,1553.36,-15.634,-12.977,-19.663,13.766,20.452,1351.8,1247.9,-3.05,BUY ZONE,6514,6.686,1.53,20.0,1.48,7,50,3097.5,57.7,True,False,False,False,False,ヘルスケア,Medical Devices,半値,1,666.7,500.0,400.0,333.3,False
NXPI,NXP Semi,NASDAQ100,190.86,223.68,-14.674,-12.012,-18.533,14.073,20.594,196.8,182.2,-3.02,BUY ZONE,3900,6.521,2.12,4.05,2.06,0,45,282.9,32.5,False,False,False,False,False,テクノロジー,Semiconductors,—,0,135.0,101.2,81.0,67.5,False
EMR,Emerson Electric,配当貴族,132.24,147.27,-10.205,-7.919,-12.131,8.929,13.141,135.6,129.4,-2.48,BUY ZONE,13534,4.212,2.04,2.69,1.99,34,45,161.1,17.9,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
5831.T,しずおかFG,Nikkei225,2610.0,2885.72,-9.555,-7.297,-11.861,10.958,15.521,2675.1,2543.5,-2.44,BUY ZONE,819,4.564,2.3,60.0,2.24,2,45,3144.0,17.0,False,False,False,False,False,金融,Banks - Regional,—,0,2000.0,1500.0,1200.0,1000.0,False
5233.T,太平洋セメント,Nikkei225,3707.0,4347.8,-14.738,-12.66,-19.15,13.297,19.787,3797.4,3515.2,-2.38,BUY ZONE,6514,6.489,2.16,80.0,2.11,2,45,4823.0,23.1,False,False,False,False,False,素材,Building Materials,—,0,2666.7,2000.0,1600.0,1333.3,False
4183.T,三井化学,Nikkei225,1931.5,2241.86,-13.844,-11.806,-17.807,12.197,18.197,1977.2,1842.7,-2.31,BUY ZONE,6514,6.001,3.88,75.0,3.79,5,52,2399.5,19.5,False,False,False,False,False,素材,Specialty Chemicals,—,0,2500.0,1875.0,1500.0,1250.0,False
8233.T,高島屋,Nikkei225,1806.0,2067.85,-12.663,-11.177,-16.919,11.793,17.535,1836.7,1718.0,-1.67,BUY ZONE,6514,5.742,1.36,24.5,1.33,3,45,2372.2,23.9,False,False,False,False,False,一般消費財,Department Stores,—,0,816.7,612.5,490.0,408.3,False
7267.T,ホンダ,Nikkei225,1368.0,1540.38,-11.191,-9.731,-14.761,10.388,15.418,1390.5,1313.0,-1.62,BUY ZONE,6514,5.03,4.97,68.0,4.89,0,65,1771.9,22.8,False,False,False,False,True,一般消費財,Auto Manufacturers,高配当,1,2266.7,1700.0,1360.0,1133.3,False
MCHP,Microchip Tech,NASDAQ100,61.94,72.82,-14.94,-13.55,-20.81,15.489,22.749,63.0,57.7,-1.61,BUY ZONE,8279,7.26,2.94,1.82,2.89,14,45,94.7,34.6,False,False,False,False,False,テクノロジー,Semiconductors,—,0,60.7,45.5,36.4,30.3,False
6472.T,NTN,Nikkei225,333.7,393.83,-15.268,-13.921,-21.012,14.441,21.532,339.0,311.1,-1.56,BUY ZONE,6514,7.091,3.3,11.0,3.24,3,62,769.0,56.6,True,False,False,False,False,資本財,Tools & Accessories,半値,1,366.7,275.0,220.0,183.3,False
7269.T,スズキ,Nikkei225,1963.5,2225.06,-11.755,-10.59,-16.102,11.456,16.968,1989.4,1866.8,-1.3,BUY ZONE,6514,5.512,2.09,41.0,2.06,3,50,2451.5,19.9,False,False,False,False,False,一般消費財,Auto Manufacturers,—,0,1366.7,1025.0,820.0,683.3,False
6178.T,日本郵政,Nikkei225,1780.5,1955.38,-8.944,-7.826,-11.858,8.302,12.334,1802.4,1723.5,-1.21,BUY ZONE,2527,4.032,2.81,50.0,2.77,0,50,2091.5,14.9,False,False,False,False,False,金融,Banks - Regional,—,0,1666.7,1250.0,1000.0,833.3,False
MDLZ,Mondelez,NASDAQ100,54.89,59.27,-7.386,-6.36,-9.715,7.058,10.412,55.5,53.5,-1.09,BUY ZONE,6200,3.355,3.53,1.94,3.5,11,55,72.7,24.5,False,False,False,False,False,生活必需品,Confectioners,—,0,64.7,48.5,38.8,32.3,False
AOS,A.O. Smith,配当貴族,66.84,75.6,-11.584,-10.697,-16.384,12.051,17.738,67.5,63.2,-0.99,BUY ZONE,10672,5.687,2.6,1.74,2.58,31,45,88.9,24.9,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,58.0,43.5,34.8,29.0,False
SHW,Sherwin-Williams,Dow30,319.78,351.47,-9.017,-8.218,-12.754,9.929,14.466,322.6,306.6,-0.87,BUY ZONE,11568,4.537,0.99,3.16,0.98,40,45,395.3,19.1,False,False,False,False,False,素材,Specialty Chemicals,—,0,105.3,79.0,63.2,52.7,False
