ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7587.0,6318.84,20.07,-1642.662,-2458.725,1621.593,2437.657,-97478.3,-149044.1,-107.78,NEUTRAL,6522,816.064,2.81,213.5,0.0,4,47,7857.0,3.4,False,False,False,False,False,2.71,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
MKC,McCormick,配当貴族,52.78,62.3,-15.286,-8.049,-12.326,9.058,13.335,57.3,54.6,-7.87,STRONG BUY,13362,4.277,4.32,2.28,3.98,27,57,95.9,45.0,False,False,False,False,False,2.47,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
CAG,Conagra Brands,SP500高配当,15.32,17.49,-12.431,-8.351,-12.803,9.456,13.908,16.0,15.3,-4.45,BUY ZONE,11576,4.452,9.14,1.4,8.73,0,75,34.4,55.5,True,False,False,False,True,0.91,True,-6.8,0.0,—,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
SJM,J.M. Smucker,配当貴族,95.39,107.19,-11.008,-7.421,-11.32,8.177,12.076,99.2,95.1,-3.87,BUY ZONE,7878,3.899,4.52,4.31,4.34,16,57,144.7,34.1,False,False,False,False,False,1.94,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
VRSK,Verisk Analytics,NASDAQ100,185.05,200.78,-7.835,-6.509,-10.076,7.756,11.323,187.7,180.6,-1.42,BUY ZONE,4117,3.566,1.05,1.95,1.04,6,45,318.8,42.0,False,False,False,False,False,82.87,False,0.0,0.0,—,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
5707.T,東邦亜鉛,Nikkei225,1200.0,1467.08,-18.205,-17.366,-26.141,17.733,26.508,1212.3,1083.6,-1.01,BUY ZONE,6522,8.775,0.0,0.0,0.0,0,55,9053.6,86.7,True,False,False,True,False,6.08,False,7.3,0.0,—,素材,Other Industrial Metals & Mining,半値／月足GC,2,0.0,0.0,0.0,0.0,False
BF-B,Brown-Forman,配当貴族,23.49,25.7,-8.605,-7.885,-12.106,8.997,13.218,23.7,22.6,-0.78,BUY ZONE,11576,4.221,4.87,1.14,4.83,3,64,73.4,68.0,True,False,False,False,False,2.64,False,2.0,1.3,微増,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
4519.T,中外製薬,Nikkei225,8451.0,9424.92,-10.333,-9.639,-14.795,10.984,16.14,8516.5,8030.5,-0.77,BUY ZONE,6522,5.156,1.56,131.5,1.54,9,45,10455.0,19.2,False,False,False,False,False,6.87,False,14.3,40.2,増収増益,ヘルスケア,Drug Manufacturers - General,—,0,4383.3,3287.5,2630.0,2191.7,False
PG,Procter & Gamble,Dow30,143.92,154.78,-7.016,-6.309,-9.718,7.33,10.74,145.0,139.7,-0.76,BUY ZONE,16141,3.41,2.97,4.27,2.94,67,40,173.8,17.2,False,False,False,False,False,6.4,False,1.5,-5.4,減益,生活必需品,Household & Personal Products,—,0,142.3,106.7,85.4,71.2,False
9843.T,ニトリHD,Nikkei225,2627.5,2916.72,-9.916,-9.35,-14.33,10.572,15.552,2644.0,2498.7,-0.62,BUY ZONE,5787,4.98,1.35,35.4,1.34,21,45,4735.2,44.5,False,False,False,False,False,1.53,False,0.0,0.0,—,一般消費財,"Furnishings, Fixtures & Appliances",—,0,1180.0,885.0,708.0,590.0,False
