ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6972.0,6839.45,1.938,-1640.774,-2455.917,1619.799,2434.943,-105380.4,-161131.7,-106.62,NEUTRAL,6537,815.143,3.06,213.5,0.0,0,59,7746.6,10.0,False,False,False,False,False,2.49,False,21.8,4.7,微増,35.2,False,68.2,14.1,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務,1,7116.7,5337.5,4270.0,3558.3,False
9602.T,東宝,Nikkei225,1449.5,1633.22,-11.249,-8.732,-13.294,9.515,14.077,1490.6,1416.1,-2.76,BUY ZONE,6537,4.562,1.56,22.6,1.52,0,50,2001.4,27.6,False,False,False,False,False,2.36,False,0.4,-43.2,減益,25.1,True,0.0,5.9,10.3,99.7,True,通信,Entertainment,RSI30以下／優良財務,2,753.3,565.0,452.0,376.7,False
CAG,Conagra Brands,SP500高配当,14.09,15.53,-9.263,-8.373,-12.832,9.459,13.918,14.2,13.5,-0.97,BUY ZONE,11590,4.458,9.94,1.4,9.84,0,80,34.4,59.1,True,False,False,False,True,0.83,True,-1.9,39.0,—,29.4,True,0.4,8.3,-0.5,52.7,False,生活必需品,Packaged Foods,高配当／PBR1倍割れ／RSI30以下／半値,4,46.7,35.0,28.0,23.3,False
VZ,Verizon,SP500高配当,45.03,48.62,-7.38,-6.786,-10.414,7.723,11.351,45.3,43.6,-0.64,BUY ZONE,10658,3.627,6.22,2.8,6.18,0,65,50.6,11.0,False,False,False,False,True,1.82,False,2.0,-53.3,減益,8.0,True,50.0,8.6,17.1,36.4,False,通信,Telecom Services,高配当／RSI30以下,2,93.3,70.0,56.0,46.7,False
T,AT&T,配当貴族,25.46,27.51,-7.453,-7.121,-10.963,8.25,12.092,25.6,24.5,-0.36,BUY ZONE,10658,3.843,0.0,0.0,0.0,0,45,28.8,11.6,False,False,False,False,False,1.62,False,3.6,-5.6,減益,12.8,True,36.7,10.0,18.8,44.6,False,通信,Telecom Services,RSI30以下,1,0.0,0.0,0.0,0.0,False
XOM,ExxonMobil,配当貴族,149.01,159.34,-6.481,-6.363,-9.836,7.528,11.001,149.2,143.7,-0.13,BUY ZONE,16155,3.473,0.0,0.0,0.0,0,45,171.5,13.1,False,False,False,False,False,2.4,False,-1.3,-11.0,減益,30.9,False,63.6,15.0,11.1,84.1,True,エネルギー,Oil & Gas Integrated,優良財務,1,0.0,0.0,0.0,0.0,False
1605.T,INPEX,Nikkei225,3948.0,4460.0,-11.48,-11.874,-18.086,12.975,19.187,3930.4,3653.4,0.45,MILD DIP,6537,6.212,2.94,116.1,2.95,0,45,4900.0,19.4,False,False,False,False,False,0.97,True,-5.3,-25.2,減収減益,18.9,True,68.4,14.7,8.5,80.1,False,エネルギー,Oil & Gas E&P,PBR1倍割れ／RSI30以下,2,3870.0,2902.5,2322.0,1935.0,False
VRSK,Verisk Analytics,NASDAQ100,176.84,188.07,-5.971,-6.624,-10.232,7.806,11.413,175.6,168.8,0.7,MILD DIP,4131,3.607,1.1,1.95,1.11,0,35,318.8,44.5,False,False,False,False,False,79.19,False,0.0,0.0,—,42.1,False,9.4,20.6,437.9,5.9,False,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
CVX,Chevron,Dow30,184.91,198.73,-6.952,-7.725,-11.847,8.763,12.885,183.4,175.2,0.84,MILD DIP,16155,4.122,3.85,7.12,3.88,36,40,211.1,12.4,False,False,False,False,False,1.96,False,-8.2,-23.8,減収減益,28.6,True,63.8,16.8,7.2,80.4,False,エネルギー,Oil & Gas Integrated,RSI30以下,1,237.3,178.0,142.4,118.7,False
AWK,American Water Works,配当貴族,130.31,136.46,-4.51,-6.284,-9.745,7.557,11.018,127.9,123.2,1.89,MILD DIP,4499,3.46,0.0,0.0,0.0,0,30,172.5,24.5,False,False,False,False,False,2.35,False,5.8,0.0,—,41.7,False,30.9,19.8,10.5,40.5,False,公益,Utilities - Regulated Water,—,0,0.0,0.0,0.0,0.0,False
