ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7370.0,6596.69,11.723,-1641.509,-2457.014,1620.508,2436.012,-101688.6,-155485.0,-107.25,NEUTRAL,6531,815.504,2.9,213.5,0.0,4,52,7746.6,4.9,False,False,False,False,False,2.63,False,21.8,4.7,微増,70.9,False,84.3,14.9,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務,1,7116.7,5337.5,4270.0,3558.3,False
NKE,Nike,Dow30,42.69,52.84,-19.202,-11.067,-16.964,12.523,18.421,47.0,43.9,-9.15,STRONG BUY,11404,5.897,3.84,1.64,3.49,24,70,165.2,74.2,True,False,False,False,False,4.49,False,0.1,-34.8,減益,15.1,True,0.9,21.9,16.0,55.8,True,一般消費財,Footwear & Accessories,RSI30以下／優良財務／半値,3,54.7,41.0,32.8,27.3,False
VRSK,Verisk Analytics,NASDAQ100,181.0,197.74,-8.464,-6.556,-10.137,7.771,11.352,184.8,177.7,-2.04,BUY ZONE,4125,3.582,1.08,1.95,1.06,6,50,318.8,43.2,False,False,False,False,False,81.06,False,0.0,0.0,—,23.3,True,10.4,21.1,437.9,5.9,False,資本財,Consulting Services,RSI30以下,1,65.0,48.8,39.0,32.5,False
MKC,McCormick,配当貴族,51.02,56.39,-9.52,-8.084,-12.374,9.076,13.367,51.8,49.4,-1.56,BUY ZONE,13370,4.29,4.47,2.28,4.4,27,60,95.9,46.8,False,False,False,False,False,1.96,False,16.7,528.3,増収増益,32.2,False,11.4,15.2,25.3,60.5,True,生活必需品,Packaged Foods,優良財務,1,76.0,57.0,45.6,38.0,False
SYY,Sysco,配当貴族,73.24,80.52,-9.041,-8.801,-13.548,10.186,14.933,73.4,69.6,-0.26,BUY ZONE,13317,4.747,3.65,2.67,3.64,53,50,90.5,19.1,False,False,False,False,False,15.36,False,3.0,-1.2,減益,27.5,True,24.7,14.6,82.3,13.5,False,生活必需品,Food Distribution,RSI30以下,1,89.0,66.8,53.4,44.5,False
SJM,J.M. Smucker,配当貴族,94.15,101.94,-7.641,-7.448,-11.356,8.186,12.094,94.3,90.4,-0.21,BUY ZONE,7886,3.908,4.58,4.31,4.57,16,62,144.7,34.9,False,False,False,False,False,1.92,False,7.0,0.0,—,12.4,True,3.3,9.4,-20.7,41.1,False,生活必需品,Packaged Foods,RSI30以下,1,143.7,107.7,86.2,71.8,False
KMB,Kimberly-Clark,配当貴族,93.05,99.37,-6.363,-6.614,-10.196,7.716,11.298,92.8,89.2,0.27,MILD DIP,11584,3.582,5.56,5.17,5.57,51,52,141.1,34.1,False,False,False,False,False,20.56,False,-0.6,11.0,—,25.2,True,1.2,12.1,126.6,17.7,False,生活必需品,Household & Personal Products,RSI30以下,1,172.3,129.2,103.4,86.2,False
CTAS,Cintas,NASDAQ100,170.28,184.87,-7.894,-8.453,-13.091,10.098,14.736,169.2,160.7,0.61,MILD DIP,10717,4.638,1.01,1.72,1.02,39,45,226.1,24.7,False,False,False,False,False,14.22,False,8.9,9.7,増収増益,24.1,True,7.4,31.4,41.3,62.1,True,資本財,Specialty Business Services,RSI30以下／優良財務,2,57.3,43.0,34.4,28.7,False
HRL,Hormel Foods,配当貴族,21.45,22.93,-6.448,-7.592,-11.682,8.771,12.862,21.2,20.2,1.24,MILD DIP,11584,4.091,5.45,1.17,5.52,57,52,48.2,55.5,True,False,False,False,False,1.49,False,-2.9,-5.1,減益,30.9,False,3.9,13.6,6.1,95.9,False,生活必需品,Packaged Foods,半値,1,39.0,29.2,23.4,19.5,False
9843.T,ニトリHD,Nikkei225,2435.0,2652.38,-8.196,-9.397,-14.393,10.585,15.581,2403.1,2270.6,1.33,MILD DIP,5796,4.996,1.45,35.4,1.47,21,40,4707.6,48.3,False,False,False,False,False,1.41,False,0.0,0.0,—,22.8,True,7.6,2.7,8.4,83.7,False,一般消費財,"Furnishings, Fixtures & Appliances",RSI30以下,1,1180.0,885.0,708.0,590.0,False
PG,Procter & Gamble,Dow30,141.3,148.3,-4.718,-6.315,-9.726,7.331,10.742,138.9,133.9,1.7,MILD DIP,16149,3.411,3.02,4.27,3.07,67,45,173.8,18.7,False,False,False,False,False,6.28,False,1.5,-5.4,減益,18.8,True,10.8,19.3,31.6,59.3,True,生活必需品,Household & Personal Products,RSI30以下／優良財務,2,142.3,106.7,85.4,71.2,False
CL,Colgate-Palmolive,配当貴族,83.13,88.0,-5.537,-7.302,-11.213,8.339,12.249,81.6,78.1,1.9,MILD DIP,13321,3.91,3.1,2.58,3.16,60,40,105.0,20.9,False,False,False,False,False,1240.75,False,5.8,0.0,—,22.4,True,34.6,20.1,497.5,4.1,False,生活必需品,Household & Personal Products,RSI30以下,1,86.0,64.5,51.6,43.0,False
ABT,Abbott Labs,配当貴族,101.83,107.0,-4.83,-7.078,-10.961,8.455,12.338,99.4,95.3,2.42,MILD DIP,11584,3.883,2.94,2.99,3.01,12,40,137.6,26.0,False,False,False,False,False,3.39,False,4.4,-80.9,減益,15.8,True,2.5,16.7,13.0,78.9,True,ヘルスケア,Medical Devices,RSI30以下／優良財務,2,99.7,74.7,59.8,49.8,False
CAG,Conagra Brands,SP500高配当,15.49,16.45,-5.824,-8.365,-12.821,9.459,13.915,15.1,14.3,2.77,MILD DIP,11584,4.456,9.04,1.4,9.29,0,65,34.4,55.0,True,False,False,False,True,0.91,True,-1.9,39.0,—,38.6,False,4.0,9.1,-0.5,52.7,False,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
KDP,Keurig Dr Pepper,NASDAQ100,25.47,26.85,-5.124,-7.934,-12.229,9.249,13.545,24.7,23.6,3.05,MILD DIP,4483,4.296,3.69,0.94,3.8,5,30,36.2,29.5,False,False,False,False,False,1.36,False,10.5,0.0,—,26.4,True,5.3,10.1,8.4,57.0,False,生活必需品,Beverages - Non-Alcoholic,RSI30以下,1,31.3,23.5,18.8,15.7,False
AMCR,Amcor,SP500高配当,39.04,40.83,-4.391,-7.399,-11.212,7.851,11.664,37.8,36.3,3.25,MILD DIP,3469,3.813,6.63,2.59,6.85,0,45,57.5,32.1,False,False,False,False,True,1.55,False,68.1,-32.1,減益,43.0,False,8.4,8.9,7.7,41.9,False,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
ABBV,AbbVie,配当貴族,206.37,217.03,-4.914,-7.97,-12.39,9.711,14.131,199.7,190.1,3.32,MILD DIP,3311,4.42,4.02,8.29,4.15,12,25,240.7,14.3,False,False,False,False,False,-111.55,False,10.0,0.0,—,34.0,False,52.2,12.8,6225.0,0.0,False,ヘルスケア,Drug Manufacturers - General,—,0,276.3,207.2,165.8,138.2,False
VZ,Verizon,SP500高配当,48.62,50.35,-3.434,-6.778,-10.402,7.722,11.347,46.9,45.1,3.59,MILD DIP,10652,3.625,5.76,2.8,5.97,21,32,51.4,5.4,False,False,False,False,False,1.96,False,2.0,-53.3,減益,32.8,False,77.0,9.3,17.1,36.4,False,通信,Telecom Services,—,0,93.3,70.0,56.0,46.7,False
