ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7243.0,6468.09,11.98,-1641.904,-2457.601,1620.883,2436.579,-99731.8,-152491.8,-107.26,NEUTRAL,6528,815.697,2.95,213.5,0.0,4,47,7746.6,6.5,False,False,False,False,False,2.59,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
NKE,Nike,Dow30,44.19,54.28,-18.586,-11.053,-16.946,12.516,18.409,48.3,45.1,-8.47,STRONG BUY,11402,5.892,3.71,1.64,3.4,24,60,165.2,73.2,True,False,False,False,False,4.64,False,0.1,-34.8,減益,一般消費財,Footwear & Accessories,半値,1,54.7,41.0,32.8,27.3,False
MKC,McCormick,配当貴族,48.85,57.95,-15.708,-8.079,-12.368,9.075,13.363,53.3,50.8,-8.3,STRONG BUY,13368,4.288,4.67,2.28,4.28,27,67,95.9,49.1,False,False,False,False,False,1.88,False,16.7,528.3,増収増益,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
SYY,Sysco,配当貴族,71.16,81.87,-13.084,-8.797,-13.543,10.185,14.931,74.7,70.8,-4.7,BUY ZONE,13315,4.746,3.75,2.67,3.58,53,45,90.5,21.4,False,False,False,False,False,14.93,False,3.0,-1.2,減益,生活必需品,Food Distribution,—,0,89.0,66.8,53.4,44.5,False
9843.T,ニトリHD,Nikkei225,2379.0,2731.98,-12.92,-9.38,-14.37,10.58,15.57,2475.7,2339.4,-3.91,BUY ZONE,5793,4.99,1.49,35.4,1.43,21,45,4707.6,49.5,False,False,False,False,False,1.38,False,0.0,0.0,—,一般消費財,"Furnishings, Fixtures & Appliances",—,0,1180.0,885.0,708.0,590.0,False
7911.T,凸版印刷(注:代替),Nikkei225,4301.0,4852.81,-11.371,-9.363,-14.181,9.906,14.723,4398.4,4164.6,-2.21,BUY ZONE,6528,4.817,1.3,55.9,1.27,1,45,5787.2,25.7,False,False,False,False,False,0.93,True,0.0,0.0,—,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
VRSK,Verisk Analytics,NASDAQ100,185.08,199.96,-7.441,-6.544,-10.121,7.767,11.344,186.9,179.7,-0.96,BUY ZONE,4123,3.578,1.05,1.95,1.04,6,45,318.8,42.0,False,False,False,False,False,82.88,False,0.0,0.0,—,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
SJM,J.M. Smucker,配当貴族,95.47,103.59,-7.839,-7.443,-11.35,8.185,12.092,95.9,91.8,-0.43,BUY ZONE,7884,3.907,4.51,4.31,4.5,16,57,144.7,34.0,False,False,False,False,False,1.95,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
CLX,Clorox,配当貴族,101.14,110.21,-8.231,-9.068,-13.819,9.939,14.691,100.2,95.0,0.92,MILD DIP,13368,4.752,4.95,5.01,5.0,46,47,199.8,49.4,False,False,False,False,False,-97.81,False,-0.8,-16.2,減益,生活必需品,Household & Personal Products,—,0,167.0,125.2,100.2,83.5,False
KDP,Keurig Dr Pepper,NASDAQ100,25.31,27.19,-6.907,-7.93,-12.225,9.25,13.545,25.0,23.9,1.11,MILD DIP,4481,4.295,3.71,0.94,3.76,5,40,36.2,30.0,False,False,False,False,False,1.35,False,10.5,0.0,—,生活必需品,Beverages - Non-Alcoholic,—,0,31.3,23.5,18.8,15.7,False
