ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,5857.0,6178.68,-5.206,-1643.07,-2459.332,1621.975,2438.236,-95341.4,-145775.6,-106.14,MILD DIP,6519,816.261,3.65,213.5,0.0,4,54,6530.3,10.3,False,False,False,False,False,2.09,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
SMCI,Super Micro Computer,NASDAQ100,20.53,31.04,-33.86,-20.376,-31.125,22.619,33.367,24.7,21.4,-16.93,STRONG BUY,4751,10.749,0.0,0.0,0.0,0,60,118.8,82.7,True,False,False,False,False,1.76,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
MKC,McCormick,配当貴族,53.23,64.41,-17.353,-8.031,-12.301,9.048,13.318,59.2,56.5,-10.14,STRONG BUY,13359,4.27,4.28,2.28,3.85,27,57,95.9,44.5,False,False,False,False,False,2.49,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
GPC,Genuine Parts,配当貴族,96.38,113.32,-14.948,-7.273,-11.165,8.295,12.187,105.1,100.7,-8.28,STRONG BUY,11573,3.892,5.38,5.18,4.93,39,62,170.3,43.4,False,False,False,False,False,3.0,False,4.1,0.0,—,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
5233.T,太平洋セメント,Nikkei225,3332.0,4155.48,-19.817,-12.699,-19.202,13.312,19.815,3627.8,3357.5,-8.15,STRONG BUY,6519,6.503,3.0,100.1,2.76,2,67,4823.0,30.9,False,False,False,False,False,0.58,True,0.0,0.0,—,素材,Building Materials,PBR1倍割れ,1,3336.7,2502.5,2002.0,1668.3,False
5707.T,東邦亜鉛,Nikkei225,1155.0,1518.24,-23.925,-17.345,-26.113,17.729,26.497,1254.9,1121.8,-7.96,BUY ZONE,6519,8.768,0.0,0.0,0.0,0,55,9053.6,87.2,True,False,False,True,False,5.85,False,7.3,0.0,—,素材,Other Industrial Metals & Mining,半値／月足GC,2,0.0,0.0,0.0,0.0,False
4519.T,中外製薬,Nikkei225,7947.0,9528.72,-16.6,-9.623,-14.773,10.979,16.129,8611.8,8121.1,-7.72,STRONG BUY,6519,5.15,1.65,131.5,1.53,9,50,10455.0,24.0,False,False,False,False,False,6.46,False,14.3,40.2,増収増益,ヘルスケア,Drug Manufacturers - General,—,0,4383.3,3287.5,2630.0,2191.7,False
4506.T,住友ファーマ,Nikkei225,1769.5,2203.0,-19.678,-13.279,-20.1,14.006,20.827,1910.5,1760.2,-7.38,BUY ZONE,6519,6.821,0.0,0.0,0.0,0,55,3710.7,52.3,True,False,False,True,False,2.43,False,7.3,-83.5,減益,ヘルスケア,Drug Manufacturers - Specialty & Generic,半値／月足GC,2,0.0,0.0,0.0,0.0,False
4188.T,三菱ケミカルG,Nikkei225,866.1,1038.57,-16.606,-10.371,-15.653,10.758,16.04,930.9,876.0,-6.96,STRONG BUY,6519,5.282,3.72,32.2,3.46,0,62,1160.5,25.4,False,False,False,False,False,0.64,True,-13.9,0.0,—,素材,Specialty Chemicals,PBR1倍割れ,1,1073.3,805.0,644.0,536.7,False
PPG,PPG Industries,配当貴族,97.22,114.22,-14.886,-8.693,-13.339,9.892,14.538,104.3,99.0,-6.78,STRONG BUY,11573,4.646,3.59,3.49,3.35,42,55,165.4,41.2,False,False,False,False,False,2.74,False,5.0,0.0,—,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
6301.T,小松製作所,Nikkei225,5949.0,7200.68,-17.383,-11.441,-17.501,12.802,18.862,6376.9,5940.5,-6.71,BUY ZONE,6519,6.061,3.23,192.2,3.01,5,52,7799.0,23.7,False,False,False,False,False,1.57,False,3.5,-11.5,減益,資本財,Farm & Heavy Construction Machinery,—,0,6406.7,4805.0,3844.0,3203.3,False
5713.T,住友金属鉱山,Nikkei225,8372.0,10330.92,-18.962,-13.292,-20.314,14.797,21.82,8957.8,8232.3,-6.54,BUY ZONE,6519,7.022,2.07,173.6,1.94,1,55,13050.0,35.8,False,False,False,True,False,1.19,False,0.0,0.0,—,素材,Other Industrial Metals & Mining,月足GC,1,5786.7,4340.0,3472.0,2893.3,False
