ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,buy_score,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct
2531.T,宝HD,Nikkei225,1572.5,1600.94,-1.776,-11.398,-17.135,11.553,17.291,1418.5,1326.6,10.86,MILD DIP,6511,5.738,184.0,29.0,203.98,43,966.7,725.0,580.0,483.3
4519.T,中外製薬,Nikkei225,9520.0,9494.4,0.27,-9.606,-14.752,10.978,16.124,8582.4,8093.8,10.93,NEUTRAL,6511,5.146,139.0,132.0,154.19,43,4400.0,3300.0,2640.0,2200.0
7004.T,日立造船(注:代替),Nikkei225,1008.0,1058.84,-4.801,-14.199,-21.412,14.65,21.863,908.5,832.1,10.95,MILD DIP,6511,7.212,248.0,25.0,275.16,40,833.3,625.0,500.0,416.7
6723.T,ルネサスエレクトロニクス,Nikkei225,2549.5,2809.78,-9.263,-18.243,-27.376,18.29,27.423,2297.2,2040.6,10.98,MILD DIP,5584,9.133,110.0,28.0,122.08,40,933.3,700.0,560.0,466.7
6361.T,荏原製作所,Nikkei225,5103.0,5319.28,-4.066,-13.577,-20.598,14.505,21.525,4597.1,4223.6,11.01,MILD DIP,6511,7.02,129.0,66.0,143.2,40,2200.0,1650.0,1320.0,1100.0
4324.T,電通G,Nikkei225,2833.0,2870.72,-1.314,-11.108,-16.739,11.414,17.044,2551.8,2390.2,11.02,MILD DIP,6013,5.63,414.0,139.5,459.62,43,4650.0,3487.5,2790.0,2325.0
6702.T,富士通,Nikkei225,3657.0,3756.16,-2.64,-12.366,-18.616,12.636,18.887,3291.7,3056.9,11.1,MILD DIP,6511,6.25,137.0,50.0,152.2,43,1666.7,1250.0,1000.0,833.3
BKR,Baker Hughes,NASDAQ100,59.34,61.25,-3.115,-12.837,-19.449,13.611,20.223,53.4,49.3,11.15,MILD DIP,9782,6.612,153.0,0.92,170.07,43,30.7,23.0,18.4,15.3
6724.T,セイコーエプソン,Nikkei225,1988.5,2068.9,-3.886,-13.547,-20.363,13.714,20.529,1788.6,1647.6,11.18,MILD DIP,6252,6.815,372.0,74.0,413.57,43,2466.7,1850.0,1480.0,1233.3
3086.T,Jフロント,Nikkei225,2472.0,2541.78,-2.745,-12.647,-19.195,13.548,20.096,2220.3,2053.9,11.33,MILD DIP,6511,6.549,218.0,54.0,242.71,43,1800.0,1350.0,1080.0,900.0
