ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,5896.0,6209.72,-5.052,-1643.551,-2460.051,1622.447,2438.947,-95850.2,-146552.5,-106.15,MILD DIP,6515,816.5,2.92,172.0,0.0,4,45,6530.3,9.7,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,5733.3,4300.0,3440.0,2866.7,False
4506.T,住友ファーマ,Nikkei225,1792.0,2278.28,-21.344,-13.242,-20.051,13.991,20.8,1976.6,1821.5,-9.34,STRONG BUY,6515,6.808,0.0,0.0,0.0,0,60,3710.7,51.7,True,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,半値／月足GC,2,0.0,0.0,0.0,0.0,False
BF-B,Brown-Forman,配当貴族,23.49,27.77,-15.416,-7.846,-12.052,8.977,13.183,25.6,24.4,-8.21,STRONG BUY,11568,4.206,4.87,1.14,4.47,3,72,73.4,68.0,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
GPC,Genuine Parts,配当貴族,105.74,122.45,-13.648,-7.245,-11.126,8.279,12.16,113.6,108.8,-6.9,STRONG BUY,11568,3.881,4.9,5.18,4.56,39,72,170.3,37.9,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
PPG,PPG Industries,配当貴族,101.89,119.76,-14.921,-8.67,-13.308,9.881,14.519,109.4,103.8,-6.84,STRONG BUY,11568,4.638,3.43,3.49,3.19,42,60,165.4,38.4,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
SWK,Stanley Black & Decker,配当貴族,70.15,83.39,-15.878,-9.911,-15.103,10.856,16.048,75.1,70.8,-6.62,STRONG BUY,11568,5.192,4.72,3.31,4.41,28,72,185.8,62.2,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
MKC,McCormick,配当貴族,58.29,67.18,-13.23,-8.004,-12.263,9.032,13.291,61.8,58.9,-5.68,STRONG BUY,13354,4.259,3.91,2.28,3.69,27,60,95.9,39.2,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
5831.T,しずおかFG,Nikkei225,2527.5,2877.24,-12.155,-7.361,-11.948,10.987,15.574,2665.5,2533.5,-5.18,STRONG BUY,820,4.587,2.37,60.0,2.25,2,50,3144.0,19.6,False,False,False,False,False,金融,Banks - Regional,—,0,2000.0,1500.0,1200.0,1000.0,False
4188.T,三菱ケミカルG,Nikkei225,910.2,1069.65,-14.907,-10.343,-15.615,10.747,16.019,959.0,902.6,-5.09,BUY ZONE,6515,5.272,3.52,32.0,3.34,0,57,1160.5,21.6,False,False,False,False,False,素材,Specialty Chemicals,—,0,1066.7,800.0,640.0,533.3,False
7269.T,スズキ,Nikkei225,1900.0,2212.34,-14.118,-10.598,-16.112,11.459,16.973,1977.9,1855.9,-3.94,BUY ZONE,6515,5.514,2.16,41.0,2.07,3,50,2451.5,22.5,False,False,False,False,False,一般消費財,Auto Manufacturers,—,0,1366.7,1025.0,820.0,683.3,False
