ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7308.0,6345.27,15.172,-1642.283,-2458.164,1621.239,2437.12,-97862.0,-149631.9,-107.47,NEUTRAL,6525,815.881,2.92,213.5,0.0,4,47,7746.6,5.7,False,False,False,False,False,2.61,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
SYY,Sysco,配当貴族,69.3,84.61,-18.091,-8.785,-13.526,10.18,14.921,77.2,73.2,-10.2,STRONG BUY,13312,4.741,3.81,2.64,3.42,53,50,91.2,24.0,False,False,False,False,False,14.54,False,3.0,-1.2,減益,生活必需品,Food Distribution,—,0,88.0,66.0,52.8,44.0,False
SMCI,Super Micro Computer,NASDAQ100,21.06,28.94,-27.225,-20.482,-31.266,22.657,33.441,23.0,19.9,-8.48,BUY ZONE,4757,10.785,0.0,0.0,0.0,0,55,118.8,82.3,True,False,False,False,False,1.8,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
7911.T,凸版印刷(注:代替),Nikkei225,4105.0,4930.98,-16.751,-9.345,-14.156,9.899,14.71,4470.2,4233.0,-8.17,STRONG BUY,6525,4.811,1.36,55.9,1.25,1,50,5787.2,29.1,False,False,False,False,False,0.88,True,0.0,0.0,—,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
5802.T,住友電気工業,Nikkei225,8380.0,9875.75,-15.146,-10.807,-16.472,11.855,17.52,8808.5,8249.0,-4.86,BUY ZONE,6525,5.665,1.54,129.3,1.47,2,40,10787.1,22.3,False,False,False,False,False,2.63,False,0.0,0.0,—,一般消費財,Auto Parts,—,0,4310.0,3232.5,2586.0,2155.0,False
6954.T,ファナック,Nikkei225,5302.0,6166.84,-14.024,-10.835,-16.417,11.493,17.075,5498.6,5154.4,-3.58,BUY ZONE,6525,5.582,1.97,104.5,1.9,1,45,7113.0,25.5,False,False,False,False,False,2.76,False,9.5,12.7,増収増益,資本財,Specialty Industrial Machinery,—,0,3483.3,2612.5,2090.0,1741.7,False
AMCR,Amcor,SP500高配当,38.11,42.59,-10.52,-7.391,-11.203,7.856,11.668,39.4,37.8,-3.38,BUY ZONE,3464,3.812,6.8,2.59,6.57,0,65,57.5,33.7,False,False,False,False,True,1.51,False,68.1,-32.1,減益,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
CTAS,Cintas,NASDAQ100,168.66,190.43,-11.431,-8.442,-13.077,10.096,14.731,174.4,165.5,-3.26,BUY ZONE,10712,4.635,1.02,1.72,0.99,39,45,226.1,25.4,False,False,False,False,False,14.09,False,8.9,9.7,増収増益,資本財,Specialty Business Services,—,0,57.3,43.0,34.4,28.7,False
MKC,McCormick,配当貴族,53.72,60.38,-11.027,-8.062,-12.343,9.064,13.346,55.5,52.9,-3.23,BUY ZONE,13365,4.282,4.24,2.28,4.11,27,52,95.9,44.0,False,False,False,False,False,2.51,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
7013.T,IHI,Nikkei225,3138.0,3784.22,-17.077,-14.691,-22.415,16.205,23.929,3228.3,2936.0,-2.8,BUY ZONE,6525,7.724,0.62,19.6,0.61,1,50,4487.1,30.1,False,False,False,True,False,5.9,False,5.9,-22.4,減益,資本財,Specialty Industrial Machinery,月足GC,1,653.3,490.0,392.0,326.7,False
EMR,Emerson Electric,配当貴族,123.3,137.27,-10.178,-7.941,-12.16,8.935,13.154,126.4,120.6,-2.43,BUY ZONE,13545,4.219,2.18,2.69,2.13,66,42,161.1,23.4,False,False,False,False,False,3.42,False,4.1,4.9,微増,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
SJM,J.M. Smucker,配当貴族,95.17,105.37,-9.682,-7.434,-11.338,8.183,12.087,97.5,93.4,-2.43,BUY ZONE,7881,3.904,4.53,4.31,4.42,16,57,144.7,34.2,False,False,False,False,False,1.94,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
META,Meta Platforms,NASDAQ100,536.38,621.92,-13.755,-12.009,-18.592,14.322,20.905,547.2,506.3,-1.98,BUY ZONE,3461,6.583,0.41,2.2,0.4,1,50,788.1,31.9,False,False,False,False,False,6.25,False,23.8,10.7,増収増益,通信,Internet Content & Information,—,0,73.3,55.0,44.0,36.7,False
