ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6071.0,6203.56,-2.137,-1643.314,-2459.696,1622.214,2438.596,-95740.4,-146385.1,-106.34,MILD DIP,6517,816.382,2.83,172.0,0.0,4,45,6530.3,7.0,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,5733.3,4300.0,3440.0,2866.7,False
BF-B,Brown-Forman,配当貴族,23.15,27.28,-15.154,-7.859,-12.07,8.985,13.196,25.1,24.0,-7.92,STRONG BUY,11570,4.211,4.94,1.14,4.55,3,72,73.4,68.5,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
GPC,Genuine Parts,配当貴族,102.82,119.05,-13.634,-7.255,-11.141,8.285,12.171,110.4,105.8,-6.88,STRONG BUY,11570,3.885,5.04,5.18,4.69,39,72,170.3,39.6,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
MKC,McCormick,配当貴族,57.08,66.36,-13.982,-8.012,-12.275,9.037,13.299,61.0,58.2,-6.49,STRONG BUY,13356,4.262,3.99,2.28,3.74,27,60,95.9,40.5,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
SWK,Stanley Black & Decker,配当貴族,71.03,81.98,-13.361,-9.92,-15.114,10.859,16.054,73.9,69.6,-3.82,BUY ZONE,11570,5.195,4.66,3.31,4.48,28,67,185.8,61.8,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
PPG,PPG Industries,配当貴族,103.9,117.95,-11.91,-8.678,-13.318,9.884,14.525,107.7,102.2,-3.54,BUY ZONE,11570,4.641,3.36,3.49,3.24,42,55,165.4,37.2,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
4506.T,住友ファーマ,Nikkei225,1886.5,2248.5,-16.1,-13.26,-20.074,13.998,20.812,1950.4,1797.1,-3.27,BUY ZONE,6517,6.814,0.0,0.0,0.0,0,50,3710.7,49.2,False,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,月足GC,1,0.0,0.0,0.0,0.0,False
AOS,A.O. Smith,配当貴族,65.74,74.56,-11.829,-10.703,-16.392,12.053,17.742,66.6,62.3,-1.26,BUY ZONE,10674,5.689,2.65,1.74,2.61,31,45,88.9,26.1,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,58.0,43.5,34.8,29.0,False
EMR,Emerson Electric,配当貴族,132.49,145.25,-8.782,-7.923,-12.136,8.93,13.143,133.7,127.6,-0.93,BUY ZONE,13536,4.213,2.03,2.69,2.01,34,45,161.1,17.7,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
7267.T,ホンダ,Nikkei225,1345.0,1502.98,-10.511,-9.747,-14.781,10.393,15.428,1356.5,1280.8,-0.85,BUY ZONE,6517,5.035,5.06,68.0,5.01,0,65,1771.9,24.1,False,False,False,False,True,一般消費財,Auto Manufacturers,高配当,1,2266.7,1700.0,1360.0,1133.3,False
