ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7072.0,7090.65,-0.263,-1640.136,-2454.965,1619.18,2434.009,-109205.7,-166982.3,-106.48,MILD DIP,6542,814.829,3.02,213.5,0.0,4,59,7746.6,8.7,False,False,False,False,False,2.53,False,21.8,4.7,微増,43.7,False,68.9,14.3,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務,1,7116.7,5337.5,4270.0,3558.3,False
8267.T,イオン,Nikkei225,1584.5,1831.44,-13.483,-10.244,-15.595,11.156,16.506,1643.8,1545.8,-3.61,BUY ZONE,6542,5.35,0.86,13.7,0.83,2,55,2868.7,44.8,False,False,False,False,False,3.59,False,11.3,75.4,増収増益,17.5,True,14.6,25.3,5.8,33.1,False,一般消費財,Department Stores,RSI30以下,1,456.7,342.5,274.0,228.3,False
9531.T,東京ガス,Nikkei225,6471.0,7174.74,-9.809,-7.277,-11.142,8.183,12.048,6652.7,6375.4,-2.73,BUY ZONE,6542,3.865,1.57,101.7,1.53,2,50,7810.3,17.1,False,False,False,False,False,1.36,False,0.0,0.0,—,20.5,True,56.7,23.9,12.1,58.3,True,公益,Utilities - Regulated Gas,RSI30以下／優良財務,2,3390.0,2542.5,2034.0,1695.0,False
ABT,Abbott Labs,配当貴族,91.7,101.11,-9.305,-7.09,-10.977,8.456,12.343,93.9,90.0,-2.38,BUY ZONE,11595,3.887,3.3,3.03,3.23,12,55,136.8,33.0,False,False,False,False,False,3.05,False,7.8,-19.7,減益,26.0,True,0.2,15.1,0.0,78.9,False,ヘルスケア,Medical Devices,RSI30以下,1,101.0,75.8,60.6,50.5,False
1333.T,マルハニチロ,Nikkei225,1334.5,1444.93,-7.643,-7.319,-11.247,8.393,12.321,1339.2,1282.4,-0.35,BUY ZONE,2946,3.928,0.0,0.0,0.0,4,50,1560.2,14.5,False,False,False,False,False,0.84,True,1.7,0.0,—,11.2,True,57.7,5.1,8.5,46.1,False,生活必需品,Packaged Foods,PBR1倍割れ／RSI30以下,2,0.0,0.0,0.0,0.0,False
9602.T,東宝,Nikkei225,1460.5,1601.62,-8.811,-8.753,-13.322,9.521,14.09,1461.4,1388.3,-0.06,BUY ZONE,6542,4.569,1.55,22.6,1.55,0,50,2001.4,27.0,False,False,False,False,False,2.38,False,0.4,-43.2,減益,16.0,True,5.2,5.9,10.3,99.7,True,通信,Entertainment,RSI30以下／優良財務,2,753.3,565.0,452.0,376.7,False
5019.T,出光興産,Nikkei225,1345.5,1511.29,-10.97,-11.078,-16.854,12.029,17.806,1343.9,1256.6,0.12,MILD DIP,4767,5.777,2.75,37.0,2.75,2,45,1659.0,18.9,False,False,False,False,False,0.94,True,-9.8,-36.3,減収減益,17.2,True,60.9,10.2,0.0,52.8,False,エネルギー,Oil & Gas Refining & Marketing,PBR1倍割れ／RSI30以下,2,1233.3,925.0,740.0,616.7,False
9532.T,大阪ガス,Nikkei225,5856.0,6279.18,-6.739,-6.996,-10.707,7.851,11.563,5839.9,5606.8,0.28,MILD DIP,6542,3.712,2.05,120.1,2.06,5,45,6674.5,12.3,False,False,False,False,False,1.31,False,-2.9,17.6,—,13.4,True,70.4,20.0,10.8,68.9,True,公益,Utilities - Regulated Gas,RSI30以下／優良財務,2,4003.3,3002.5,2402.0,2001.7,False
9024.T,西武HD(注:代替),Nikkei225,3780.0,4220.46,-10.436,-11.198,-17.013,12.06,17.875,3747.8,3502.4,0.86,MILD DIP,2930,5.815,0.0,0.0,0.0,1,40,5744.6,34.2,False,False,False,False,False,1.77,False,-0.1,-8.3,減益,20.9,True,25.1,26.8,42.2,45.7,False,資本財,Conglomerates,RSI30以下,1,0.0,0.0,0.0,0.0,False
7205.T,日野自動車(注:代替),Nikkei225,360.0,411.96,-12.613,-13.368,-20.154,13.777,20.563,356.9,328.9,0.87,MILD DIP,6541,6.786,0.0,0.0,0.0,1,40,1616.8,77.7,True,False,False,False,False,1.03,False,0.0,0.0,—,30.8,False,8.2,8.7,35.4,41.6,False,資本財,Farm & Heavy Construction Machinery,半値,1,0.0,0.0,0.0,0.0,False
