ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6857.0,6201.08,10.578,-1642.928,-2459.12,1621.839,2438.031,-95678.2,-146290.9,-107.17,NEUTRAL,6520,816.192,3.11,213.5,0.0,4,59,6857.0,0.0,False,True,False,False,False,2.45,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,日足25MA上抜け,1,7116.7,5337.5,4270.0,3558.3,False
SMCI,Super Micro Computer,NASDAQ100,21.58,30.68,-29.666,-20.399,-31.156,22.629,33.385,24.4,21.1,-11.64,BUY ZONE,4752,10.757,0.0,0.0,0.0,0,55,118.8,81.8,True,False,False,False,False,1.85,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
MKC,McCormick,配当貴族,53.25,63.68,-16.375,-8.037,-12.309,9.051,13.324,58.6,55.8,-9.07,STRONG BUY,13360,4.272,4.28,2.28,3.89,27,57,95.9,44.5,False,False,False,False,False,2.49,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
BF-B,Brown-Forman,配当貴族,22.93,26.18,-12.4,-7.879,-12.097,8.995,13.213,24.1,23.0,-4.91,STRONG BUY,11574,4.218,4.98,1.14,4.74,3,69,73.4,68.8,True,False,False,False,False,2.58,False,2.0,1.3,微増,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
4519.T,中外製薬,Nikkei225,8224.0,9486.48,-13.308,-9.63,-14.783,10.982,16.135,8573.0,8084.1,-4.07,BUY ZONE,6520,5.153,1.6,131.5,1.53,9,45,10455.0,21.3,False,False,False,False,False,6.68,False,14.3,40.2,増収増益,ヘルスケア,Drug Manufacturers - General,—,0,4383.3,3287.5,2630.0,2191.7,False
5233.T,太平洋セメント,Nikkei225,3481.0,4106.8,-15.238,-12.707,-19.212,13.314,19.819,3585.0,3317.8,-2.9,BUY ZONE,6520,6.505,2.88,100.1,2.79,2,50,4823.0,27.8,False,False,False,False,False,0.61,True,0.0,0.0,—,素材,Building Materials,PBR1倍割れ,1,3336.7,2502.5,2002.0,1668.3,False
7201.T,日産自動車,Nikkei225,340.0,395.71,-14.078,-11.984,-18.048,12.271,18.335,348.3,324.3,-2.38,BUY ZONE,6520,6.064,0.0,0.0,0.0,0,55,1029.7,67.0,True,False,False,False,False,0.24,True,-5.1,0.0,—,一般消費財,Auto Manufacturers,PBR1倍割れ／半値,2,0.0,0.0,0.0,0.0,False
5707.T,東邦亜鉛,Nikkei225,1212.0,1501.68,-19.29,-17.353,-26.124,17.731,26.502,1241.1,1109.4,-2.34,BUY ZONE,6520,8.771,0.0,0.0,0.0,0,55,9053.6,86.6,True,False,False,True,False,6.14,False,7.3,0.0,—,素材,Other Industrial Metals & Mining,半値／月足GC,2,0.0,0.0,0.0,0.0,False
GPC,Genuine Parts,配当貴族,101.06,111.53,-9.386,-7.276,-11.169,8.296,12.189,103.4,99.1,-2.28,BUY ZONE,11574,3.893,5.13,5.18,5.01,39,57,170.3,40.7,False,False,False,False,False,3.14,False,4.1,0.0,—,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
1803.T,清水建設,Nikkei225,2830.0,3238.62,-12.617,-10.584,-16.168,11.751,17.335,2895.8,2715.0,-2.27,BUY ZONE,6520,5.584,2.16,61.2,2.11,1,50,3578.0,20.9,False,False,False,False,False,2.13,False,8.5,19.6,増収増益,資本財,Engineering & Construction,—,0,2040.0,1530.0,1224.0,1020.0,False
3402.T,東レ,Nikkei225,1074.5,1212.5,-11.381,-9.441,-14.315,10.057,14.931,1098.0,1038.9,-2.14,BUY ZONE,6520,4.874,1.91,20.5,1.87,1,45,1340.0,19.8,False,False,False,False,False,0.91,True,0.0,0.0,—,一般消費財,Textile Manufacturing,PBR1倍割れ,1,683.3,512.5,410.0,341.7,False
4188.T,三菱ケミカルG,Nikkei225,904.2,1030.32,-12.241,-10.376,-15.66,10.76,16.044,923.4,869.0,-2.08,BUY ZONE,6520,5.284,3.56,32.2,3.49,0,57,1160.5,22.1,False,False,False,False,False,0.66,True,-13.9,0.0,—,素材,Specialty Chemicals,PBR1倍割れ,1,1073.3,805.0,644.0,536.7,False
SJM,J.M. Smucker,配当貴族,98.38,108.06,-8.954,-7.411,-11.307,8.173,12.069,100.0,95.8,-1.67,BUY ZONE,7876,3.896,5.55,5.46,5.46,16,57,144.7,32.0,False,False,False,False,False,2.0,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,182.0,136.5,109.2,91.0,False
7267.T,ホンダ,Nikkei225,1300.5,1463.18,-11.118,-9.764,-14.805,10.399,15.44,1320.3,1246.6,-1.5,BUY ZONE,6520,5.041,5.54,72.1,5.46,0,65,1771.9,26.6,False,False,False,False,True,0.41,True,-3.4,-41.2,減益,一般消費財,Auto Manufacturers,高配当／PBR1倍割れ,2,2403.3,1802.5,1442.0,1201.7,False
PG,Procter & Gamble,Dow30,143.99,155.95,-7.671,-6.306,-9.714,7.329,10.738,146.1,140.8,-1.46,BUY ZONE,16139,3.409,2.94,4.24,2.9,22,40,173.8,17.2,False,False,False,False,False,6.4,False,1.5,-5.4,減益,生活必需品,Household & Personal Products,—,0,141.3,106.0,84.8,70.7,False
9843.T,ニトリHD,Nikkei225,2660.0,2975.56,-10.605,-9.341,-14.319,10.57,15.547,2697.6,2549.5,-1.39,BUY ZONE,5785,4.978,1.33,35.4,1.31,1,45,4735.2,43.8,False,False,False,False,False,1.54,False,0.0,0.0,—,一般消費財,"Furnishings, Fixtures & Appliances",—,0,1180.0,885.0,708.0,590.0,False
SWK,Stanley Black & Decker,配当貴族,69.91,78.66,-11.12,-9.936,-15.137,10.866,16.066,70.8,66.8,-1.31,BUY ZONE,11574,5.201,4.73,3.31,4.67,28,62,185.8,62.4,True,False,False,False,False,1.2,False,-1.0,-19.3,減益,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
6326.T,クボタ,Nikkei225,2503.0,2846.86,-12.079,-11.007,-16.771,12.049,17.813,2533.5,2369.4,-1.2,BUY ZONE,6520,5.764,2.17,54.4,2.15,0,50,3242.0,22.8,False,False,False,False,False,1.09,False,10.3,41.0,増収増益,資本財,Farm & Heavy Construction Machinery,—,0,1813.3,1360.0,1088.0,906.7,False
PPG,PPG Industries,配当貴族,102.08,113.08,-9.73,-8.696,-13.343,9.893,14.54,103.2,98.0,-1.13,BUY ZONE,11574,4.647,3.42,3.49,3.38,42,50,165.4,38.3,False,False,False,False,False,2.87,False,5.0,0.0,—,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
6301.T,小松製作所,Nikkei225,6257.0,7142.44,-12.397,-11.446,-17.509,12.803,18.866,6324.9,5891.9,-1.07,BUY ZONE,6520,6.062,3.07,192.2,3.04,5,52,7799.0,19.8,False,False,False,False,False,1.65,False,3.5,-11.5,減益,資本財,Farm & Heavy Construction Machinery,—,0,6406.7,4805.0,3844.0,3203.3,False
5713.T,住友金属鉱山,Nikkei225,8827.0,10288.56,-14.206,-13.298,-20.322,14.799,21.823,8920.4,8197.7,-1.05,BUY ZONE,6520,7.024,1.97,173.6,1.95,1,50,13050.0,32.4,False,False,False,True,False,1.26,False,0.0,0.0,—,素材,Other Industrial Metals & Mining,月足GC,1,5786.7,4340.0,3472.0,2893.3,False
CL,Colgate-Palmolive,配当貴族,85.15,92.74,-8.189,-7.291,-11.199,8.338,12.246,86.0,82.4,-0.97,BUY ZONE,13311,3.907,3.03,2.58,3.0,52,45,105.0,18.9,False,False,False,False,False,1270.9,False,5.8,0.0,—,生活必需品,Household & Personal Products,—,0,86.0,64.5,51.6,43.0,False
1801.T,大成建設,Nikkei225,15960.0,18004.0,-11.353,-10.525,-16.141,11.936,17.552,16109.0,15098.0,-0.92,BUY ZONE,6520,5.615,1.67,266.8,1.66,1,40,20390.0,21.7,False,False,False,False,False,3.02,False,-9.6,11.3,—,資本財,Engineering & Construction,—,0,8893.3,6670.0,5336.0,4446.7,False
ABBV,AbbVie,配当貴族,204.93,224.48,-8.71,-7.942,-12.357,9.717,14.132,206.7,196.7,-0.83,BUY ZONE,3301,4.415,4.05,8.29,4.01,12,45,240.7,14.9,False,False,False,False,False,-110.77,False,10.0,0.0,—,ヘルスケア,Drug Manufacturers - General,—,0,276.3,207.2,165.8,138.2,False
ECL,Ecolab,配当貴族,261.13,287.0,-9.012,-8.327,-12.751,9.373,13.798,263.1,250.4,-0.75,BUY ZONE,13360,4.425,1.31,3.41,1.3,23,40,307.5,15.1,False,False,False,False,False,11.13,False,17.8,0.0,—,素材,Specialty Chemicals,—,0,113.7,85.2,68.2,56.8,False
CLX,Clorox,配当貴族,105.88,117.21,-9.669,-9.052,-13.799,9.935,14.682,106.6,101.0,-0.68,BUY ZONE,13360,4.747,5.82,6.16,5.78,38,57,199.8,47.0,False,False,False,False,False,-102.4,False,-0.8,-16.2,減益,生活必需品,Household & Personal Products,—,0,205.3,154.0,123.2,102.7,False
3407.T,旭化成,Nikkei225,1530.0,1703.2,-10.169,-9.674,-14.692,10.399,15.417,1538.4,1453.0,-0.55,BUY ZONE,6520,5.018,2.64,40.4,2.63,1,47,1884.5,18.8,False,False,False,False,False,1.04,False,0.8,44.7,微増,資本財,Conglomerates,—,0,1346.7,1010.0,808.0,673.3,False
