ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7262.0,6433.97,12.87,-1642.03,-2457.787,1621.001,2436.759,-99213.8,-151699.4,-107.32,NEUTRAL,6527,815.758,2.94,213.5,0.0,4,47,7746.6,6.3,False,False,False,False,False,2.59,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
MKC,McCormick,配当貴族,48.38,58.77,-17.679,-8.074,-12.36,9.071,13.358,54.0,51.5,-10.45,STRONG BUY,13367,4.286,4.71,2.28,4.22,27,67,95.9,49.5,False,False,False,False,False,1.86,False,16.7,528.3,増収増益,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
NKE,Nike,Dow30,44.63,55.05,-18.931,-11.047,-16.937,12.513,18.403,49.0,45.7,-8.86,STRONG BUY,11401,5.89,3.67,1.64,3.35,24,60,165.2,73.0,True,False,False,False,False,4.69,False,0.1,-34.8,減益,一般消費財,Footwear & Accessories,半値,1,54.7,41.0,32.8,27.3,False
7911.T,凸版印刷(注:代替),Nikkei225,4210.0,4885.26,-13.822,-9.358,-14.173,9.904,14.719,4428.1,4192.8,-4.93,BUY ZONE,6527,4.815,1.33,55.9,1.26,1,45,5787.2,27.3,False,False,False,False,False,0.91,True,0.0,0.0,—,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
SYY,Sysco,配当貴族,72.17,83.19,-13.243,-8.793,-13.538,10.184,14.928,75.9,71.9,-4.88,BUY ZONE,13314,4.744,3.66,2.64,3.48,53,45,91.2,20.8,False,False,False,False,False,15.14,False,3.0,-1.2,減益,生活必需品,Food Distribution,—,0,88.0,66.0,52.8,44.0,False
VRSK,Verisk Analytics,NASDAQ100,183.5,200.64,-8.543,-6.538,-10.114,7.765,11.341,187.5,180.3,-2.15,BUY ZONE,4122,3.576,1.06,1.95,1.04,6,45,318.8,42.4,False,False,False,False,False,82.18,False,0.0,0.0,—,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
SJM,J.M. Smucker,配当貴族,95.49,104.41,-8.544,-7.44,-11.346,8.184,12.09,96.6,92.6,-1.19,BUY ZONE,7883,3.906,4.51,4.31,4.46,16,57,144.7,34.0,False,False,False,False,False,1.95,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
CTAS,Cintas,NASDAQ100,172.04,188.26,-8.616,-8.448,-13.084,10.098,14.734,172.4,163.6,-0.18,BUY ZONE,10714,4.636,1.0,1.72,1.0,39,45,226.1,23.9,False,False,False,False,False,14.37,False,8.9,9.7,増収増益,資本財,Specialty Business Services,—,0,57.3,43.0,34.4,28.7,False
9843.T,ニトリHD,Nikkei225,2507.5,2761.05,-9.183,-9.372,-14.36,10.577,15.564,2502.3,2364.6,0.21,MILD DIP,5792,4.987,1.41,35.4,1.41,21,35,4707.6,46.7,False,False,False,False,False,1.46,False,0.0,0.0,—,一般消費財,"Furnishings, Fixtures & Appliances",—,0,1180.0,885.0,708.0,590.0,False
CAG,Conagra Brands,SP500高配当,15.52,16.85,-7.919,-8.363,-12.818,9.459,13.915,15.4,14.7,0.48,MILD DIP,11581,4.455,9.02,1.4,9.06,0,65,34.4,54.9,True,False,False,False,True,0.91,True,-1.9,39.0,—,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
SMCI,Super Micro Computer,NASDAQ100,22.51,28.16,-20.065,-20.504,-31.295,22.661,33.452,22.4,19.3,0.55,MILD DIP,4759,10.791,0.0,0.0,0.0,0,45,118.8,81.1,True,False,False,False,False,1.93,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
6954.T,ファナック,Nikkei225,5476.0,6082.68,-9.974,-10.841,-16.424,11.493,17.076,5423.3,5083.6,0.97,MILD DIP,6527,5.583,1.91,104.5,1.93,1,35,7113.0,23.0,False,False,False,False,False,2.85,False,9.5,12.7,増収増益,資本財,Specialty Industrial Machinery,—,0,3483.3,2612.5,2090.0,1741.7,False
7211.T,三菱自動車,Nikkei225,305.5,355.25,-14.003,-15.036,-22.416,14.485,21.865,301.8,275.6,1.21,MILD DIP,6527,7.38,3.27,10.0,3.31,0,57,3922.3,92.2,True,False,False,False,False,0.46,True,4.9,0.0,—,一般消費財,Auto Manufacturers,PBR1倍割れ／半値,2,333.3,250.0,200.0,166.7,False
ABT,Abbott Labs,配当貴族,102.38,108.59,-5.717,-7.075,-10.958,8.456,12.338,100.9,96.7,1.46,MILD DIP,11581,3.883,2.92,2.99,2.96,12,30,137.6,25.6,False,False,False,False,False,3.41,False,4.4,-80.9,減益,ヘルスケア,Medical Devices,—,0,99.7,74.7,59.8,49.8,False
PG,Procter & Gamble,Dow30,144.09,150.99,-4.568,-6.313,-9.724,7.331,10.742,141.5,136.3,1.86,MILD DIP,16146,3.411,2.96,4.27,3.02,67,30,173.8,17.1,False,False,False,False,False,6.41,False,1.5,-5.4,減益,生活必需品,Household & Personal Products,—,0,142.3,106.7,85.4,71.2,False
KDP,Keurig Dr Pepper,NASDAQ100,25.69,27.38,-6.165,-7.926,-12.22,9.25,13.544,25.2,24.0,1.91,MILD DIP,4480,4.294,3.66,0.94,3.73,5,35,36.2,28.9,False,False,False,False,False,1.37,False,10.5,0.0,—,生活必需品,Beverages - Non-Alcoholic,—,0,31.3,23.5,18.8,15.7,False
