ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6915.0,6764.53,2.224,-1641.018,-2456.282,1620.036,2435.3,-104242.6,-159391.3,-106.63,NEUTRAL,6535,815.264,3.09,213.5,0.0,0,64,7746.6,10.7,False,False,False,False,False,2.47,False,21.8,4.7,微増,23.9,True,67.0,14.0,20.7,96.0,True,金融,Insurance - Property & Casualty,RSI30以下／優良財務,2,7116.7,5337.5,4270.0,3558.3,False
VRSK,Verisk Analytics,NASDAQ100,167.87,190.65,-11.947,-6.612,-10.215,7.801,11.405,178.0,171.2,-5.71,STRONG BUY,4129,3.603,1.16,1.95,1.1,0,55,318.8,47.4,False,False,False,False,False,75.18,False,0.0,0.0,—,22.3,True,3.8,19.5,437.9,5.9,False,資本財,Consulting Services,RSI30以下,1,65.0,48.8,39.0,32.5,False
NKE,Nike,Dow30,42.91,50.42,-14.894,-11.087,-16.992,12.532,18.436,44.8,41.9,-4.28,BUY ZONE,11408,5.905,3.82,1.64,3.66,0,65,165.2,74.0,True,False,False,False,False,4.51,False,0.1,-34.8,減益,22.3,True,2.2,22.4,16.0,55.8,True,一般消費財,Footwear & Accessories,RSI30以下／優良財務／半値,3,54.7,41.0,32.8,27.3,False
SJM,J.M. Smucker,配当貴族,89.53,98.62,-9.219,-7.46,-11.372,8.189,12.102,91.3,87.4,-1.9,BUY ZONE,7890,3.912,4.81,4.31,4.72,0,62,144.7,38.1,False,False,False,False,False,1.82,False,7.0,0.0,—,12.0,True,4.1,8.9,-20.7,41.1,False,生活必需品,Packaged Foods,RSI30以下,1,143.7,107.7,86.2,71.8,False
VZ,Verizon,SP500高配当,45.42,48.98,-7.276,-6.783,-10.409,7.722,11.349,45.7,43.9,-0.53,BUY ZONE,10656,3.626,6.16,2.8,6.13,0,65,50.6,10.3,False,False,False,False,True,1.83,False,2.0,-53.3,減益,12.0,True,52.9,8.6,17.1,36.4,False,通信,Telecom Services,高配当／RSI30以下,2,93.3,70.0,56.0,46.7,False
T,AT&T,配当貴族,25.61,27.65,-7.391,-7.117,-10.958,8.249,12.09,25.7,24.6,-0.3,BUY ZONE,10656,3.841,0.0,0.0,0.0,0,45,28.8,11.1,False,False,False,False,False,1.63,False,3.6,-5.6,減益,15.2,True,38.9,10.1,18.8,44.6,False,通信,Telecom Services,RSI30以下,1,0.0,0.0,0.0,0.0,False
CAG,Conagra Brands,SP500高配当,14.51,15.86,-8.53,-8.369,-12.826,9.458,13.915,14.5,13.8,-0.18,BUY ZONE,11588,4.457,9.65,1.4,9.63,0,75,34.4,57.8,True,False,False,False,True,0.85,True,-1.9,39.0,—,33.7,False,2.4,8.5,-0.5,52.7,False,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
8267.T,イオン,Nikkei225,1721.5,1915.7,-10.137,-10.219,-15.562,11.152,16.495,1719.9,1617.6,0.09,MILD DIP,6535,5.343,0.8,13.7,0.8,0,45,2868.7,40.0,False,False,False,False,False,4.12,False,11.3,75.4,増収増益,27.7,True,26.4,27.5,5.8,33.1,False,一般消費財,Department Stores,RSI30以下,1,456.7,342.5,274.0,228.3,False
INTU,Intuit,NASDAQ100,369.44,426.28,-13.334,-13.469,-20.646,15.24,22.417,368.9,338.3,0.16,MILD DIP,8304,7.177,1.26,4.64,1.26,0,55,802.0,53.9,True,False,False,False,False,5.38,False,17.4,48.5,増収増益,24.1,True,5.8,14.0,23.5,73.4,True,テクノロジー,Software - Application,RSI30以下／優良財務／半値,3,154.7,116.0,92.8,77.3,False
HRL,Hormel Foods,配当貴族,20.48,22.08,-7.265,-7.597,-11.689,8.772,12.864,20.4,19.5,0.36,MILD DIP,11588,4.092,5.71,1.17,5.73,57,57,47.5,56.9,True,False,False,False,False,1.42,False,-2.9,-5.1,減益,28.6,True,1.4,13.0,6.1,95.9,False,生活必需品,Packaged Foods,RSI30以下／半値,2,39.0,29.2,23.4,19.5,False
