ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,5878.0,6211.32,-5.366,-1643.827,-2460.463,1622.719,2439.356,-95892.0,-146615.9,-106.13,MILD DIP,6513,816.636,2.71,159.0,0.0,4,45,6530.3,10.0,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,5300.0,3975.0,3180.0,2650.0,False
4506.T,住友ファーマ,Nikkei225,1866.0,2317.4,-19.479,-13.218,-20.017,13.98,20.779,2011.1,1853.5,-7.21,BUY ZONE,6513,6.799,0.43,8.0,0.4,0,50,3710.7,49.7,False,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,月足GC,1,266.7,200.0,160.0,133.3,False
BF-B,Brown-Forman,配当貴族,24.22,28.22,-14.168,-7.832,-12.032,8.969,13.169,26.0,24.8,-6.87,STRONG BUY,11566,4.2,4.72,1.14,4.39,3,72,73.4,67.0,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
PPG,PPG Industries,配当貴族,104.08,121.61,-14.416,-8.658,-13.291,9.875,14.508,111.1,105.4,-6.3,STRONG BUY,11566,4.633,3.35,3.49,3.14,42,60,165.4,37.1,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
GPC,Genuine Parts,配当貴族,109.2,125.6,-13.059,-7.234,-11.111,8.274,12.15,116.5,111.6,-6.28,STRONG BUY,11566,3.877,4.75,5.18,4.45,39,72,170.3,35.9,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
MKC,McCormick,配当貴族,59.93,67.9,-11.732,-7.994,-12.25,9.028,13.283,62.5,59.6,-4.06,BUY ZONE,13352,4.256,3.8,2.28,3.65,27,55,95.9,37.5,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
5831.T,しずおかFG,Nikkei225,2581.0,2888.3,-10.639,-7.254,-11.803,10.942,15.491,2678.8,2547.4,-3.65,BUY ZONE,818,4.549,1.55,40.0,1.49,2,40,3144.0,17.9,False,False,False,False,False,金融,Banks - Regional,—,0,1333.3,1000.0,800.0,666.7,False
SWK,Stanley Black & Decker,配当貴族,73.74,84.47,-12.707,-9.901,-15.089,10.851,16.039,76.1,71.7,-3.11,BUY ZONE,11566,5.188,4.49,3.31,4.35,28,60,185.8,60.3,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
4188.T,三菱ケミカルG,Nikkei225,941.4,1081.84,-12.982,-10.327,-15.594,10.741,16.007,970.1,913.1,-2.96,BUY ZONE,6513,5.267,3.4,32.0,3.3,0,57,1160.5,18.9,False,False,False,False,False,素材,Specialty Chemicals,—,0,1066.7,800.0,640.0,533.3,False
8233.T,高島屋,Nikkei225,1800.0,2080.66,-13.489,-11.171,-16.912,11.791,17.531,1848.2,1728.8,-2.61,BUY ZONE,6513,5.741,2.11,38.0,2.06,3,50,2372.2,24.1,False,False,False,False,False,一般消費財,Department Stores,—,0,1266.7,950.0,760.0,633.3,False
7733.T,オリンパス,Nikkei225,1340.5,1575.34,-14.907,-12.97,-19.654,13.764,20.447,1371.0,1265.7,-2.23,BUY ZONE,6513,6.683,1.04,14.0,1.02,7,50,3097.5,56.7,True,False,False,False,False,ヘルスケア,Medical Devices,半値,1,466.7,350.0,280.0,233.3,False
4183.T,三井化学,Nikkei225,1952.0,2259.94,-13.626,-11.8,-17.798,12.195,18.193,1993.3,1857.7,-2.07,BUY ZONE,6513,5.999,5.12,100.0,5.02,5,65,2399.5,18.6,False,False,False,False,True,素材,Specialty Chemicals,高配当,1,3333.3,2500.0,2000.0,1666.7,False
TFC,Truist Financial,配当貴族,45.65,50.89,-10.296,-9.167,-14.024,10.262,15.12,46.2,43.8,-1.24,BUY ZONE,11565,4.857,5.7,2.6,5.62,0,57,55.3,17.4,False,False,False,False,False,金融,Banks - Regional,—,0,86.7,65.0,52.0,43.3,False
SHW,Sherwin-Williams,Dow30,322.74,355.11,-9.115,-8.213,-12.748,9.927,14.462,325.9,309.8,-0.98,BUY ZONE,11566,4.535,1.23,3.96,1.21,40,45,395.3,18.4,False,False,False,False,False,素材,Specialty Chemicals,—,0,132.0,99.0,79.2,66.0,False
MDLZ,Mondelez,NASDAQ100,55.36,59.69,-7.248,-6.352,-9.704,7.055,10.407,55.9,53.9,-0.96,BUY ZONE,6198,3.352,4.35,2.41,4.31,11,55,72.7,23.8,False,False,False,False,False,生活必需品,Confectioners,—,0,80.3,60.2,48.2,40.2,False
POOL,Pool Corp,配当貴族,210.88,236.08,-10.675,-9.953,-15.422,11.924,17.393,212.6,199.7,-0.8,BUY ZONE,7627,5.469,2.92,6.15,2.89,15,55,548.8,61.6,True,False,False,False,False,資本財,Industrial Distribution,半値,1,205.0,153.8,123.0,102.5,False
5233.T,太平洋セメント,Nikkei225,3792.0,4375.08,-13.327,-12.654,-19.141,13.295,19.783,3821.5,3537.6,-0.77,BUY ZONE,6513,6.487,1.05,40.0,1.05,2,40,4823.0,21.4,False,False,False,False,False,素材,Building Materials,—,0,1333.3,1000.0,800.0,666.7,False
8053.T,住友商事,Nikkei225,5597.0,6255.4,-10.525,-9.852,-15.035,10.88,16.063,5639.1,5314.9,-0.75,BUY ZONE,6513,5.183,2.23,125.0,2.22,2,50,6739.0,16.9,False,False,False,False,False,資本財,Conglomerates,—,0,4166.7,3125.0,2500.0,2083.3,False
