ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6032.0,6194.36,-2.621,-1643.203,-2459.53,1622.106,2438.433,-95591.5,-146157.8,-106.31,MILD DIP,6518,816.327,2.85,172.0,0.0,4,45,6530.3,7.6,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,5733.3,4300.0,3440.0,2866.7,False
MKC,McCormick,配当貴族,55.06,65.8,-16.325,-8.018,-12.283,9.04,13.305,60.5,57.7,-9.03,STRONG BUY,13357,4.265,4.14,2.28,3.77,27,60,95.9,42.6,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
BF-B,Brown-Forman,配当貴族,22.94,27.02,-15.09,-7.865,-12.078,8.988,13.201,24.9,23.8,-7.84,STRONG BUY,11571,4.213,4.98,1.14,4.59,3,72,73.4,68.8,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
GPC,Genuine Parts,配当貴族,100.72,117.27,-14.11,-7.261,-11.149,8.289,12.176,108.8,104.2,-7.39,STRONG BUY,11571,3.887,5.15,5.18,4.77,39,72,170.3,40.9,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
5233.T,太平洋セメント,Nikkei225,3439.0,4215.12,-18.413,-12.688,-19.186,13.306,19.805,3680.3,3406.4,-6.56,BUY ZONE,6518,6.499,2.33,80.0,2.17,2,45,4823.0,28.7,False,False,False,False,False,素材,Building Materials,—,0,2666.7,2000.0,1600.0,1333.3,False
PPG,PPG Industries,配当貴族,100.78,116.84,-13.747,-8.682,-13.325,9.887,14.529,106.7,101.3,-5.55,STRONG BUY,11571,4.642,3.46,3.49,3.27,42,60,165.4,39.1,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
SWK,Stanley Black & Decker,配当貴族,69.62,81.14,-14.196,-9.924,-15.12,10.861,16.057,73.1,68.9,-4.74,BUY ZONE,11571,5.196,4.75,3.31,4.53,28,67,185.8,62.5,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
4506.T,住友ファーマ,Nikkei225,1854.5,2227.86,-16.759,-13.268,-20.085,14.001,20.818,1932.3,1780.4,-4.02,BUY ZONE,6518,6.817,0.0,0.0,0.0,0,55,3710.7,50.0,True,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,半値／月足GC,2,0.0,0.0,0.0,0.0,False
4188.T,三菱ケミカルG,Nikkei225,907.2,1049.24,-13.538,-10.361,-15.639,10.753,16.032,940.5,885.2,-3.54,BUY ZONE,6518,5.278,3.53,32.0,3.4,0,57,1160.5,21.8,False,False,False,False,False,素材,Specialty Chemicals,—,0,1066.7,800.0,640.0,533.3,False
7267.T,ホンダ,Nikkei225,1302.0,1488.28,-12.516,-9.753,-14.79,10.395,15.433,1343.1,1268.2,-3.06,BUY ZONE,6518,5.037,5.22,68.0,5.06,0,65,1771.9,26.5,False,False,False,False,True,一般消費財,Auto Manufacturers,高配当,1,2266.7,1700.0,1360.0,1133.3,False
AOS,A.O. Smith,配当貴族,64.02,73.9,-13.372,-10.707,-16.398,12.054,17.745,66.0,61.8,-2.98,BUY ZONE,10675,5.69,2.72,1.74,2.64,31,45,88.9,28.0,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,58.0,43.5,34.8,29.0,False
5831.T,しずおかFG,Nikkei225,2559.0,2844.7,-10.043,-7.483,-12.111,11.029,15.656,2631.8,2500.2,-2.77,BUY ZONE,823,4.628,2.34,60.0,2.28,2,45,3144.0,18.6,False,False,False,False,False,金融,Banks - Regional,—,0,2000.0,1500.0,1200.0,1000.0,False
MMM,3M,Dow30,145.08,160.32,-9.508,-7.268,-11.13,8.179,12.041,148.7,142.5,-2.42,BUY ZONE,16136,3.862,2.01,2.91,1.96,0,50,173.8,16.5,False,False,False,False,False,資本財,Conglomerates,—,0,97.0,72.8,58.2,48.5,False
ECL,Ecolab,配当貴族,261.84,291.98,-10.323,-8.319,-12.741,9.37,13.793,267.7,254.8,-2.19,BUY ZONE,13357,4.422,1.3,3.41,1.27,23,45,307.5,14.9,False,False,False,False,False,素材,Specialty Chemicals,—,0,113.7,85.2,68.2,56.8,False
EMR,Emerson Electric,配当貴族,129.88,144.0,-9.804,-7.925,-12.14,8.931,13.145,132.6,126.5,-2.04,BUY ZONE,13537,4.214,2.07,2.69,2.03,34,45,161.1,19.4,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
SHW,Sherwin-Williams,Dow30,312.12,346.3,-9.87,-8.224,-12.763,9.93,14.469,317.8,302.1,-1.79,BUY ZONE,11571,4.539,1.01,3.16,0.99,40,45,395.3,21.0,False,False,False,False,False,素材,Specialty Chemicals,—,0,105.3,79.0,63.2,52.7,False
7186.T,コンコルディアFG,Nikkei225,1385.0,1565.8,-11.547,-9.984,-15.357,11.506,16.878,1409.5,1325.3,-1.74,BUY ZONE,2431,5.372,2.09,29.0,2.06,5,50,1703.0,18.7,False,False,False,False,False,金融,Banks - Regional,—,0,966.7,725.0,580.0,483.3,False
7201.T,日産自動車,Nikkei225,348.8,403.18,-13.487,-11.968,-18.026,12.265,18.323,354.9,330.5,-1.73,BUY ZONE,6518,6.058,0.0,0.0,0.0,0,50,1029.7,66.1,True,False,False,False,False,一般消費財,Auto Manufacturers,半値,1,0.0,0.0,0.0,0.0,False
