ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,5944.0,6205.84,-4.219,-1643.419,-2459.853,1622.317,2438.751,-95782.1,-146448.7,-106.21,MILD DIP,6516,816.434,2.89,172.0,0.0,4,45,6530.3,9.0,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,5733.3,4300.0,3440.0,2866.7,False
BF-B,Brown-Forman,配当貴族,23.08,27.53,-16.156,-7.853,-12.062,8.981,13.19,25.4,24.2,-9.01,STRONG BUY,11569,4.209,4.95,1.14,4.51,3,72,73.4,68.6,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
GPC,Genuine Parts,配当貴族,104.01,120.73,-13.847,-7.25,-11.133,8.282,12.166,112.0,107.3,-7.11,STRONG BUY,11569,3.883,4.98,5.18,4.63,39,72,170.3,38.9,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
MKC,McCormick,配当貴族,57.69,66.79,-13.623,-8.008,-12.269,9.035,13.295,61.4,58.6,-6.1,STRONG BUY,13355,4.261,3.95,2.28,3.71,27,60,95.9,39.8,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
4506.T,住友ファーマ,Nikkei225,1849.0,2263.06,-18.296,-13.252,-20.064,13.995,20.807,1963.2,1809.0,-5.81,BUY ZONE,6516,6.812,0.0,0.0,0.0,0,55,3710.7,50.2,True,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,半値／月足GC,2,0.0,0.0,0.0,0.0,False
PPG,PPG Industries,配当貴族,103.45,118.87,-12.969,-8.674,-13.313,9.883,14.522,108.6,103.0,-4.7,BUY ZONE,11569,4.639,3.37,3.49,3.21,42,55,165.4,37.5,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
SWK,Stanley Black & Decker,配当貴族,71.08,82.7,-14.048,-9.916,-15.109,10.858,16.051,74.5,70.2,-4.59,BUY ZONE,11569,5.193,4.66,3.31,4.44,28,67,185.8,61.7,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
4188.T,三菱ケミカルG,Nikkei225,912.0,1063.81,-14.271,-10.35,-15.625,10.75,16.025,953.7,897.6,-4.37,BUY ZONE,6516,5.275,3.51,32.0,3.36,0,57,1160.5,21.4,False,False,False,False,False,素材,Specialty Chemicals,—,0,1066.7,800.0,640.0,533.3,False
5831.T,しずおかFG,Nikkei225,2572.5,2869.16,-10.34,-7.409,-12.013,11.006,15.61,2656.6,2524.5,-3.17,BUY ZONE,821,4.604,2.33,60.0,2.26,2,45,3144.0,18.2,False,False,False,False,False,金融,Banks - Regional,—,0,2000.0,1500.0,1200.0,1000.0,False
NXPI,NXP Semi,NASDAQ100,191.89,222.38,-13.713,-12.023,-18.547,14.076,20.6,195.6,181.1,-1.92,BUY ZONE,3901,6.525,2.11,4.05,2.07,0,45,282.9,32.2,False,False,False,False,False,テクノロジー,Semiconductors,—,0,135.0,101.2,81.0,67.5,False
7267.T,ホンダ,Nikkei225,1342.0,1514.58,-11.395,-9.742,-14.776,10.392,15.426,1367.0,1290.8,-1.83,BUY ZONE,6516,5.034,5.07,68.0,4.97,0,65,1771.9,24.3,False,False,False,False,True,一般消費財,Auto Manufacturers,高配当,1,2266.7,1700.0,1360.0,1133.3,False
3402.T,東レ,Nikkei225,1101.0,1236.08,-10.928,-9.42,-14.288,10.05,14.918,1119.6,1059.5,-1.66,BUY ZONE,6516,4.868,1.63,18.0,1.61,1,45,1340.0,17.8,False,False,False,False,False,一般消費財,Textile Manufacturing,—,0,600.0,450.0,360.0,300.0,False
7186.T,コンコルディアFG,Nikkei225,1403.5,1584.66,-11.432,-9.961,-15.327,11.501,16.866,1426.8,1341.8,-1.63,BUY ZONE,2429,5.366,2.07,29.0,2.03,5,50,1703.0,17.6,False,False,False,False,False,金融,Banks - Regional,—,0,966.7,725.0,580.0,483.3,False
5233.T,太平洋セメント,Nikkei225,3690.0,4292.48,-14.036,-12.673,-19.167,13.301,19.795,3748.5,3469.7,-1.56,BUY ZONE,6516,6.494,2.17,80.0,2.13,2,45,4823.0,23.5,False,False,False,False,False,素材,Building Materials,—,0,2666.7,2000.0,1600.0,1333.3,False
7269.T,スズキ,Nikkei225,1934.5,2197.4,-11.964,-10.603,-16.119,11.46,16.976,1964.4,1843.2,-1.52,BUY ZONE,6516,5.516,2.12,41.0,2.09,3,50,2451.5,21.1,False,False,False,False,False,一般消費財,Auto Manufacturers,—,0,1366.7,1025.0,820.0,683.3,False
6479.T,ミネベアミツミ,Nikkei225,2711.0,3153.3,-14.027,-12.913,-19.518,13.506,20.111,2746.1,2537.8,-1.28,BUY ZONE,6516,6.605,1.66,45.0,1.64,1,40,3635.5,25.4,False,False,False,False,False,テクノロジー,Electronic Components,—,0,1500.0,1125.0,900.0,750.0,False
TFC,Truist Financial,配当貴族,44.52,49.62,-10.282,-9.176,-14.037,10.266,15.126,45.1,42.7,-1.22,BUY ZONE,11568,4.861,5.84,2.6,5.77,0,57,55.3,19.4,False,False,False,False,False,金融,Banks - Regional,—,0,86.7,65.0,52.0,43.3,False
EMR,Emerson Electric,配当貴族,133.09,146.32,-9.043,-7.921,-12.134,8.93,13.142,134.7,128.6,-1.22,BUY ZONE,13535,4.213,2.02,2.69,2.0,34,45,161.1,17.4,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
5101.T,横浜ゴム,Nikkei225,6069.0,6888.04,-11.891,-10.951,-16.77,12.324,18.143,6133.7,5732.9,-1.06,BUY ZONE,6516,5.819,2.21,134.0,2.18,5,50,7982.0,24.0,False,False,False,False,False,一般消費財,Auto Parts,—,0,4466.7,3350.0,2680.0,2233.3,False
4183.T,三井化学,Nikkei225,1931.5,2212.08,-12.684,-11.817,-17.821,12.199,18.204,1950.7,1817.9,-0.98,BUY ZONE,6516,6.004,3.88,75.0,3.84,5,52,2399.5,19.5,False,False,False,False,False,素材,Specialty Chemicals,—,0,2500.0,1875.0,1500.0,1250.0,False
AOS,A.O. Smith,配当貴族,66.4,75.09,-11.577,-10.7,-16.388,12.052,17.74,67.1,62.8,-0.98,BUY ZONE,10673,5.688,2.62,1.74,2.59,31,45,88.9,25.3,False,False,False,False,False,資本財,Specialty Industrial Machinery,—,0,58.0,43.5,34.8,29.0,False
6472.T,NTN,Nikkei225,332.5,388.67,-14.452,-13.934,-21.029,14.444,21.539,334.5,306.9,-0.6,BUY ZONE,6516,7.095,3.31,11.0,3.29,3,62,769.0,56.8,True,False,False,False,False,資本財,Tools & Accessories,半値,1,366.7,275.0,220.0,183.3,False
7201.T,日産自動車,Nikkei225,357.0,407.22,-12.332,-11.959,-18.014,12.263,18.318,358.5,333.9,-0.42,BUY ZONE,6516,6.055,0.0,0.0,0.0,0,50,1029.7,65.3,True,False,False,False,False,一般消費財,Auto Manufacturers,半値,1,0.0,0.0,0.0,0.0,False
MMM,3M,Dow30,149.95,162.25,-7.578,-7.265,-11.126,8.178,12.039,150.5,144.2,-0.34,BUY ZONE,16134,3.861,1.94,2.91,1.93,0,50,173.8,13.7,False,False,False,False,False,資本財,Conglomerates,—,0,97.0,72.8,58.2,48.5,False
6178.T,日本郵政,Nikkei225,1785.5,1940.84,-8.004,-7.845,-11.883,8.308,12.346,1788.6,1710.2,-0.17,BUY ZONE,2529,4.038,2.8,50.0,2.8,0,50,2091.5,14.6,False,False,False,False,False,金融,Banks - Regional,—,0,1666.7,1250.0,1000.0,833.3,False
3116.T,トヨタ紡織,Nikkei225,2649.5,3012.86,-12.06,-12.253,-18.626,13.239,19.612,2643.7,2451.7,0.22,MILD DIP,6254,6.373,0.0,0.0,0.0,0,30,3277.0,19.1,False,False,False,False,False,一般消費財,Auto Parts,—,0,0.0,0.0,0.0,0.0,False
SHW,Sherwin-Williams,Dow30,322.71,349.93,-7.78,-8.219,-12.757,9.929,14.466,321.2,305.3,0.48,MILD DIP,11569,4.537,0.98,3.16,0.98,40,35,395.3,18.4,False,False,False,False,False,素材,Specialty Chemicals,—,0,105.3,79.0,63.2,52.7,False
1812.T,鹿島建設,Nikkei225,6100.0,6775.76,-9.973,-10.566,-16.161,11.818,17.414,6059.9,5680.7,0.66,MILD DIP,6516,5.596,1.7,104.0,1.72,5,35,7696.0,20.7,False,False,False,False,False,資本財,Engineering & Construction,—,0,3466.7,2600.0,2080.0,1733.3,False
BDX,Becton Dickinson,配当貴族,160.27,172.26,-6.963,-7.762,-11.897,8.779,12.915,158.9,151.8,0.87,MILD DIP,13355,4.135,2.7,4.33,2.72,43,35,211.6,24.3,False,False,False,False,False,ヘルスケア,Medical Instruments & Supplies,—,0,144.3,108.2,86.6,72.1,False
7205.T,日野自動車(注:代替),Nikkei225,378.0,432.48,-12.597,-13.349,-20.128,13.766,20.544,374.7,345.4,0.87,MILD DIP,6516,6.779,0.0,0.0,0.0,1,40,1616.8,76.6,True,False,False,False,False,資本財,Farm & Heavy Construction Machinery,半値,1,0.0,0.0,0.0,0.0,False
5201.T,AGC,Nikkei225,5630.0,6256.92,-10.02,-10.809,-16.345,11.335,16.871,5580.6,5234.2,0.88,MILD DIP,6516,5.536,3.73,210.0,3.76,0,47,6930.0,18.8,False,False,False,False,False,資本財,Conglomerates,—,0,7000.0,5250.0,4200.0,3500.0,False
