ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,buy_score,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct
8766.T,東京海上HD,Nikkei225,6089.0,6203.76,-1.85,-1644.087,-2460.853,1622.976,2439.741,-95791.5,-146461.6,-106.36,MILD DIP,6511,816.766,350.0,211.0,0.0,80,7033.3,5275.0,4220.0,3516.7
4506.T,住友ファーマ,Nikkei225,1907.5,2343.88,-18.618,-13.197,-19.988,13.971,20.762,2034.6,1875.4,-6.25,BUY ZONE,6511,6.792,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0
8233.T,高島屋,Nikkei225,1843.0,2100.78,-12.271,-11.159,-16.895,11.787,17.523,1866.4,1745.9,-1.25,BUY ZONE,6511,5.736,195.0,34.0,192.56,83,1133.3,850.0,680.0,566.7
4151.T,協和キリン,Nikkei225,2281.5,2532.94,-9.927,-9.483,-14.366,10.048,14.931,2292.7,2169.0,-0.49,BUY ZONE,6511,4.883,318.0,70.0,316.44,87,2333.3,1750.0,1400.0,1166.7
4902.T,コニカミノルタ,Nikkei225,514.4,593.28,-13.296,-13.181,-19.895,13.677,20.391,515.1,475.2,-0.13,BUY ZONE,6511,6.714,198.0,10.0,197.74,83,333.3,250.0,200.0,166.7
6479.T,ミネベアミツミ,Nikkei225,2832.0,3253.72,-12.961,-12.887,-19.483,13.5,20.097,2834.4,2619.8,-0.09,BUY ZONE,6511,6.597,180.0,50.0,179.85,83,1666.7,1250.0,1000.0,833.3
4188.T,三菱ケミカルG,Nikkei225,976.1,1087.5,-10.244,-10.317,-15.58,10.737,16.001,975.3,918.1,0.08,MILD DIP,6511,5.263,337.0,32.0,337.27,73,1066.7,800.0,640.0,533.3
8267.T,イオン,Nikkei225,1988.5,2205.49,-9.839,-10.166,-15.497,11.154,16.484,1981.3,1863.7,0.36,MILD DIP,6511,5.33,134.0,27.0,134.49,73,900.0,675.0,540.0,450.0
5233.T,太平洋セメント,Nikkei225,3870.0,4407.64,-12.198,-12.644,-19.128,13.293,19.778,3850.3,3564.5,0.51,MILD DIP,6511,6.484,261.0,100.0,262.33,73,3333.3,2500.0,2000.0,1666.7
9202.T,ANA HD,Nikkei225,2977.5,3247.94,-8.327,-8.81,-13.266,9.015,13.472,2961.8,2817.1,0.53,MILD DIP,6511,4.456,202.0,60.0,203.07,77,2000.0,1500.0,1200.0,1000.0
7270.T,SUBARU,Nikkei225,2698.5,3038.68,-11.195,-11.771,-17.882,12.674,18.785,2681.0,2495.3,0.65,MILD DIP,6511,6.111,430.0,115.0,432.81,73,3833.3,2875.0,2300.0,1916.7
5831.T,しずおかFG,Nikkei225,2692.5,2881.38,-6.555,-7.177,-11.701,10.917,15.441,2674.6,2544.2,0.67,MILD DIP,816,4.524,317.0,82.0,319.12,67,2733.3,2050.0,1640.0,1366.7
7733.T,オリンパス,Nikkei225,1419.5,1617.74,-12.254,-12.956,-19.635,13.759,20.438,1408.1,1300.1,0.81,MILD DIP,6511,6.679,220.0,30.0,221.77,73,1000.0,750.0,600.0,500.0
GEHC,GE HealthCare,NASDAQ100,73.43,80.42,-8.688,-9.858,-15.021,10.797,15.961,72.5,68.3,1.3,MILD DIP,785,5.164,19.0,0.14,19.25,63,4.7,3.5,2.8,2.3
SHW,Sherwin-Williams,Dow30,332.61,356.64,-6.74,-8.21,-12.744,9.927,14.461,327.4,311.2,1.6,MILD DIP,11565,4.534,96.0,3.2,97.54,77,106.7,80.0,64.0,53.3
