ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7238.0,7214.46,0.326,-1639.765,-2454.41,1618.818,2433.464,-111085.8,-169858.1,-106.52,NEUTRAL,6545,814.646,2.95,213.5,0.0,4,57,7746.6,6.6,False,True,False,False,False,2.59,False,21.8,4.7,微増,45.2,False,75.4,14.7,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務／日足25MA上抜け,2,7116.7,5337.5,4270.0,3558.3,False
CHTR,Charter Comm,NASDAQ100,174.61,221.26,-21.084,-10.078,-15.441,11.372,16.735,199.0,187.1,-12.24,STRONG BUY,4078,5.363,0.0,0.0,0.0,0,55,821.0,78.7,True,False,False,False,False,1.38,False,-1.0,8.9,—,30.6,False,1.0,4.0,27.5,17.9,False,通信,Telecom Services,半値,1,0.0,0.0,0.0,0.0,False
7205.T,日野自動車(注:代替),Nikkei225,316.0,404.24,-21.829,-13.394,-20.19,13.787,20.583,350.1,322.6,-9.74,STRONG BUY,6544,6.795,0.0,0.0,0.0,1,60,1616.8,80.5,True,False,False,False,False,1.03,False,0.0,0.0,—,16.2,True,-11.8,8.7,35.4,41.6,False,資本財,Farm & Heavy Construction Machinery,RSI30以下／半値,2,0.0,0.0,0.0,0.0,False
8267.T,イオン,Nikkei225,1568.5,1787.76,-12.265,-10.266,-15.624,11.165,16.522,1604.2,1508.4,-2.23,BUY ZONE,6545,5.358,0.87,13.7,0.85,2,55,2868.7,45.3,False,False,False,False,False,3.56,False,11.3,75.4,増収増益,14.7,True,11.8,25.0,5.8,33.1,False,一般消費財,Department Stores,RSI30以下,1,456.7,342.5,274.0,228.3,False
4503.T,アステラス製薬,Nikkei225,2306.0,2543.93,-9.353,-8.053,-12.244,8.712,12.903,2339.1,2232.4,-1.41,BUY ZONE,6545,4.191,3.42,78.8,3.37,12,62,2657.5,13.2,False,False,False,False,False,2.34,False,20.7,-2.8,減益,20.2,True,70.4,30.4,17.4,76.4,True,ヘルスケア,Drug Manufacturers - General,RSI30以下／優良財務,2,2626.7,1970.0,1576.0,1313.3,False
ABT,Abbott Labs,配当貴族,92.8,99.4,-6.639,-7.096,-10.985,8.458,12.346,92.3,88.5,0.49,MILD DIP,11598,3.889,3.27,3.03,3.28,12,40,136.8,32.2,False,False,False,False,False,3.09,False,7.8,-19.7,減益,31.9,False,4.3,15.3,0.0,78.9,False,ヘルスケア,Medical Devices,—,0,101.0,75.8,60.6,50.5,False
4661.T,OLC,Nikkei225,2434.5,2617.57,-6.994,-7.71,-11.785,8.588,12.662,2415.7,2309.1,0.78,MILD DIP,6286,4.075,0.6,14.7,0.61,0,47,5630.2,56.8,True,False,False,False,False,3.71,False,2.9,2.7,微増,27.6,True,4.2,27.8,0.0,76.1,False,一般消費財,Leisure,RSI30以下／半値,2,490.0,367.5,294.0,245.0,False
XOM,ExxonMobil,配当貴族,148.19,156.89,-5.547,-6.37,-9.845,7.529,11.004,146.9,141.4,0.88,MILD DIP,16163,3.475,3.39,5.03,3.42,42,45,171.5,13.6,False,False,False,False,False,2.39,False,-1.3,-11.0,減益,23.9,True,62.5,14.6,11.1,84.1,True,エネルギー,Oil & Gas Integrated,RSI30以下／優良財務,2,167.7,125.8,100.6,83.8,False
1333.T,マルハニチロ,Nikkei225,1340.5,1431.51,-6.358,-7.338,-11.272,8.396,12.33,1326.5,1270.2,1.06,MILD DIP,2949,3.934,0.0,0.0,0.0,4,40,1560.2,14.1,False,False,False,False,False,0.85,True,1.7,0.0,—,17.8,True,58.7,5.1,8.5,46.1,False,生活必需品,Packaged Foods,PBR1倍割れ／RSI30以下,2,0.0,0.0,0.0,0.0,False
9202.T,ANA HD,Nikkei225,2629.0,2853.52,-7.868,-8.837,-13.296,9.002,13.461,2601.4,2474.1,1.06,MILD DIP,6545,4.46,2.48,65.1,2.5,1,60,4342.9,39.5,False,False,False,False,False,0.85,True,13.9,18.0,増収増益,16.6,True,3.2,9.4,12.3,55.0,True,資本財,Airlines,PBR1倍割れ／RSI30以下／優良財務,3,2170.0,1627.5,1302.0,1085.0,False
5019.T,出光興産,Nikkei225,1348.0,1499.4,-10.097,-11.097,-16.879,12.033,17.816,1333.0,1246.3,1.12,MILD DIP,4770,5.782,2.74,37.0,2.78,2,45,1659.0,18.7,False,False,False,False,False,0.94,True,-9.8,-36.3,減収減益,12.2,True,61.2,10.2,0.0,52.8,False,エネルギー,Oil & Gas Refining & Marketing,PBR1倍割れ／RSI30以下,2,1233.3,925.0,740.0,616.7,False
9602.T,東宝,Nikkei225,1461.5,1583.74,-7.718,-8.763,-13.335,9.523,14.094,1445.0,1372.6,1.14,MILD DIP,6545,4.571,1.55,22.6,1.56,0,40,2001.4,27.0,False,False,False,False,False,2.38,False,0.4,-43.2,減益,23.9,True,7.0,5.9,10.3,99.7,True,通信,Entertainment,RSI30以下／優良財務,2,753.3,565.0,452.0,376.7,False
MRK,Merck,Dow30,110.23,117.97,-6.564,-7.701,-11.853,8.908,13.061,108.9,104.0,1.23,MILD DIP,16163,4.152,2.93,3.23,2.97,15,35,125.4,12.1,False,False,False,False,False,5.19,False,5.0,-19.3,減益,33.9,False,71.2,11.3,36.9,51.0,True,ヘルスケア,Drug Manufacturers - General,優良財務,1,107.7,80.8,64.6,53.8,False
T,AT&T,配当貴族,25.52,27.12,-5.903,-7.126,-10.97,8.248,12.091,25.2,24.1,1.32,MILD DIP,10666,3.844,5.45,1.39,5.52,0,42,28.8,11.4,False,False,False,False,False,1.62,False,2.9,-12.2,減益,30.8,False,37.6,10.0,18.4,44.8,False,通信,Telecom Services,—,0,46.3,34.8,27.8,23.2,False
4502.T,武田薬品,Nikkei225,5289.0,5627.25,-6.011,-7.417,-11.217,7.785,11.585,5209.9,4996.0,1.52,MILD DIP,6545,3.8,3.78,200.1,3.84,3,49,5890.0,10.2,False,False,False,False,False,1.09,False,4.2,330.2,微増,20.2,True,63.4,37.7,1.5,58.5,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,RSI30以下,1,6670.0,5002.5,4002.0,3335.0,False
9005.T,東急,Nikkei225,1687.0,1837.81,-8.206,-9.727,-14.761,10.409,15.443,1659.0,1566.5,1.69,MILD DIP,6545,5.034,1.71,28.8,1.74,2,35,2039.8,17.3,False,False,False,False,False,1.1,False,2.0,-2.9,減益,10.4,True,11.5,14.7,0.0,39.7,False,一般消費財,Department Stores,RSI30以下,1,960.0,720.0,576.0,480.0,False
4519.T,中外製薬,Nikkei225,7940.0,8631.76,-8.014,-9.654,-14.81,10.973,16.129,7798.5,7353.4,1.81,MILD DIP,6545,5.157,1.66,131.5,1.69,9,35,10455.0,24.1,False,False,False,False,False,6.85,False,11.5,18.7,増収増益,37.1,False,42.0,33.7,23.7,0.0,False,ヘルスケア,Drug Manufacturers - General,—,0,4383.3,3287.5,2630.0,2191.7,False
JNJ,Johnson & Johnson,Dow30,225.34,236.67,-4.787,-6.72,-10.404,8.016,11.7,220.8,212.0,2.07,MILD DIP,16163,3.684,2.34,5.27,2.39,61,40,248.6,9.3,False,False,False,False,False,6.65,False,9.9,-52.9,減益,29.7,True,75.0,17.7,26.4,59.6,True,ヘルスケア,Drug Manufacturers - General,RSI30以下／優良財務,2,175.7,131.8,105.4,87.8,False
