ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
CAG,Conagra Brands,SP500高配当,15.72,16.73,-6.062,-8.364,-12.819,9.459,13.915,15.3,14.6,2.51,MILD DIP,11582,4.456,8.91,1.4,9.13,0,65,34.4,54.3,True,False,False,False,True,0.92,True,-1.9,39.0,—,39.4,False,5.7,9.2,-0.5,52.7,False,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
8801.T,三井不動産,Nikkei225,1650.0,1810.66,-8.873,-11.176,-16.996,12.104,17.924,1608.3,1502.9,2.59,MILD DIP,6529,5.82,2.11,34.8,2.16,4,40,2126.0,22.4,False,False,False,False,False,1.41,False,22.2,22.4,増収増益,35.0,False,42.8,17.4,0.0,41.1,False,不動産,Real Estate - Diversified,—,0,1160.0,870.0,696.0,580.0,False
HRL,Hormel Foods,配当貴族,22.09,23.21,-4.837,-7.589,-11.68,8.771,12.862,21.5,20.5,2.98,MILD DIP,11582,4.09,5.3,1.17,5.45,57,52,48.2,54.2,True,False,False,False,False,1.53,False,-2.9,-5.1,減益,42.1,False,9.8,14.0,6.1,95.9,False,生活必需品,Packaged Foods,半値,1,39.0,29.2,23.4,19.5,False
IP,International Paper,SP500高配当,34.79,37.62,-7.519,-10.232,-15.524,10.934,16.226,33.8,31.8,3.02,MILD DIP,16147,5.292,5.35,1.86,5.51,0,37,57.2,39.1,False,False,False,False,False,1.24,False,53.1,0.0,—,37.5,False,5.4,12.1,-24.7,58.5,False,一般消費財,Packaging & Containers,—,0,62.0,46.5,37.2,31.0,False
CL,Colgate-Palmolive,配当貴族,85.14,89.15,-4.502,-7.301,-11.211,8.339,12.249,82.6,79.2,3.02,MILD DIP,13319,3.91,3.03,2.58,3.12,60,25,105.0,18.9,False,False,False,False,False,1270.75,False,5.8,0.0,—,34.8,False,42.7,20.6,497.5,4.1,False,生活必需品,Household & Personal Products,—,0,86.0,64.5,51.6,43.0,False
3659.T,ネクソン,Nikkei225,2637.0,2944.76,-10.451,-13.141,-20.052,14.502,21.413,2557.8,2354.3,3.1,MILD DIP,3496,6.911,2.21,58.3,2.28,2,35,4421.0,40.4,False,False,False,False,False,1.97,False,55.0,-64.8,減益,25.8,True,31.1,15.8,8.6,95.3,False,通信,Electronic Gaming & Multimedia,RSI30以下,1,1943.3,1457.5,1166.0,971.7,False
7269.T,スズキ,Nikkei225,1803.0,1954.63,-7.757,-10.639,-16.164,11.461,16.986,1746.7,1638.7,3.22,MILD DIP,6529,5.525,2.58,46.6,2.67,3,35,2421.1,25.5,False,False,False,False,False,1.05,False,15.7,20.5,増収増益,41.2,False,33.7,10.2,13.4,84.5,True,一般消費財,Auto Manufacturers,優良財務,1,1553.3,1165.0,932.0,776.7,False
CHD,Church & Dwight,配当貴族,92.85,97.56,-4.832,-7.94,-12.286,9.44,13.786,89.8,85.6,3.38,MILD DIP,11582,4.345,1.6,1.49,1.66,29,30,111.7,16.9,False,False,False,False,False,5.49,False,3.9,-20.8,減益,25.5,True,44.8,23.1,17.6,62.7,True,生活必需品,Household & Personal Products,RSI30以下／優良財務,2,49.6,37.2,29.8,24.8,False
6954.T,ファナック,Nikkei225,5492.0,5958.0,-7.821,-10.846,-16.43,11.493,17.077,5311.8,4979.1,3.39,MILD DIP,6529,5.585,1.9,104.5,1.97,1,25,7113.0,22.8,False,False,False,False,False,2.85,False,9.5,12.7,増収増益,39.6,False,59.3,31.7,9.4,0.0,False,資本財,Specialty Industrial Machinery,—,0,3483.3,2612.5,2090.0,1741.7,False
ABBV,AbbVie,配当貴族,208.84,219.17,-4.711,-7.964,-12.383,9.712,14.131,201.7,192.0,3.53,MILD DIP,3309,4.419,3.97,8.29,4.11,12,25,240.7,13.2,False,False,False,False,False,-112.89,False,10.0,0.0,—,37.4,False,55.3,13.0,6225.0,0.0,False,ヘルスケア,Drug Manufacturers - General,—,0,276.3,207.2,165.8,138.2,False
1801.T,大成建設,Nikkei225,15825.0,17052.73,-7.2,-10.543,-16.162,11.933,17.552,15254.9,14296.7,3.74,MILD DIP,6529,5.619,1.69,266.8,1.75,1,20,20163.4,21.5,False,False,False,False,False,2.99,False,-9.6,11.3,—,43.6,False,67.4,33.2,0.0,59.7,False,資本財,Engineering & Construction,—,0,8893.3,6670.0,5336.0,4446.7,False
BDX,Becton Dickinson,配当貴族,154.51,161.42,-4.278,-7.776,-11.915,8.78,12.919,148.9,142.2,3.79,MILD DIP,13368,4.139,2.8,4.33,2.91,51,22,211.6,27.0,False,False,False,False,False,1.74,False,1.6,28.6,微増,39.8,False,45.1,11.4,7.0,56.4,False,ヘルスケア,Medical Instruments & Supplies,—,0,144.3,108.2,86.6,72.1,False
AMCR,Amcor,SP500高配当,39.93,41.54,-3.88,-7.397,-11.209,7.853,11.666,38.5,36.9,3.8,MILD DIP,3467,3.813,6.49,2.59,6.73,0,45,57.5,30.6,False,False,False,False,True,1.59,False,68.1,-32.1,減益,47.1,False,15.2,9.1,7.7,41.9,False,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
MMM,3M,Dow30,144.47,150.07,-3.729,-7.279,-11.144,8.181,12.046,139.1,133.3,3.83,MILD DIP,16147,3.865,2.12,3.06,2.2,65,20,173.8,16.9,False,False,False,False,False,16.29,False,2.0,-19.9,減益,37.3,False,40.6,15.4,75.5,26.6,False,資本財,Conglomerates,—,0,102.0,76.5,61.2,51.0,False
9531.T,東京ガス,Nikkei225,7224.0,7501.02,-3.693,-7.25,-11.108,8.18,12.038,6957.2,6667.8,3.84,MILD DIP,6529,3.858,1.41,101.7,1.46,2,25,7810.3,7.5,False,False,False,False,False,1.52,False,0.0,0.0,—,46.3,False,78.9,26.6,12.1,58.3,True,公益,Utilities - Regulated Gas,優良財務,1,3390.0,2542.5,2034.0,1695.0,False
