ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7490.0,6394.83,17.126,-1642.156,-2457.974,1621.12,2436.939,-98618.3,-150788.5,-107.59,NEUTRAL,6526,815.819,2.85,213.5,0.0,4,47,7746.6,3.3,False,False,False,False,False,2.68,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
MKC,McCormick,配当貴族,50.44,59.6,-15.363,-8.067,-12.35,9.067,13.351,54.8,52.2,-7.94,STRONG BUY,13366,4.284,4.52,2.28,4.16,27,67,95.9,47.4,False,False,False,False,False,1.94,False,16.7,528.3,増収増益,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
SYY,Sysco,配当貴族,71.33,83.86,-14.946,-8.79,-13.532,10.182,14.925,76.5,72.5,-6.75,STRONG BUY,13313,4.743,3.7,2.64,3.45,53,50,91.2,21.8,False,False,False,False,False,14.96,False,3.0,-1.2,減益,生活必需品,Food Distribution,—,0,88.0,66.0,52.8,44.0,False
CTAS,Cintas,NASDAQ100,169.14,189.25,-10.627,-8.445,-13.081,10.097,14.733,173.3,164.5,-2.38,BUY ZONE,10713,4.636,1.02,1.72,0.99,39,45,226.1,25.2,False,False,False,False,False,14.13,False,8.9,9.7,増収増益,資本財,Specialty Business Services,—,0,57.3,43.0,34.4,28.7,False
7911.T,凸版印刷(注:代替),Nikkei225,4353.0,4912.41,-11.388,-9.35,-14.163,9.9,14.713,4453.1,4216.7,-2.25,BUY ZONE,6526,4.813,1.28,55.9,1.26,1,45,5787.2,24.8,False,False,False,False,False,0.94,True,0.0,0.0,—,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
SJM,J.M. Smucker,配当貴族,96.44,104.86,-8.026,-7.437,-11.342,8.183,12.088,97.1,93.0,-0.64,BUY ZONE,7882,3.905,4.47,4.31,4.44,16,50,144.7,33.3,False,False,False,False,False,1.97,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
9843.T,ニトリHD,Nikkei225,2527.0,2784.74,-9.255,-9.368,-14.354,10.576,15.562,2523.9,2385.0,0.12,MILD DIP,5791,4.986,1.4,35.4,1.4,21,35,4707.6,46.3,False,False,False,False,False,1.47,False,0.0,0.0,—,一般消費財,"Furnishings, Fixtures & Appliances",—,0,1180.0,885.0,708.0,590.0,False
SMCI,Super Micro Computer,NASDAQ100,22.77,28.6,-20.396,-20.493,-31.281,22.659,33.447,22.7,19.7,0.12,MILD DIP,4758,10.788,0.0,0.0,0.0,0,45,118.8,80.8,True,False,False,False,False,1.95,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
VRSK,Verisk Analytics,NASDAQ100,189.75,201.11,-5.651,-6.531,-10.104,7.763,11.336,188.0,180.8,0.94,MILD DIP,4121,3.573,1.03,1.95,1.04,6,35,318.8,40.5,False,False,False,False,False,84.98,False,0.0,0.0,—,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
CAG,Conagra Brands,SP500高配当,15.72,16.98,-7.425,-8.361,-12.816,9.459,13.914,15.6,14.8,1.02,MILD DIP,11580,4.455,8.91,1.4,9.0,0,65,34.4,54.3,True,False,False,False,True,0.93,True,-6.8,0.0,—,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
ABT,Abbott Labs,配当貴族,102.67,109.08,-5.879,-7.074,-10.957,8.456,12.338,101.4,97.1,1.29,MILD DIP,11580,3.882,2.91,2.99,2.95,12,30,137.6,25.4,False,False,False,False,False,3.42,False,4.4,-80.9,減益,ヘルスケア,Medical Devices,—,0,99.7,74.7,59.8,49.8,False
7211.T,三菱自動車,Nikkei225,310.0,359.36,-13.736,-15.031,-22.409,14.484,21.863,305.3,278.8,1.52,MILD DIP,6526,7.379,3.23,10.0,3.27,0,57,3922.3,92.1,True,False,False,False,False,0.47,True,4.9,0.0,—,一般消費財,Auto Manufacturers,PBR1倍割れ／半値,2,333.3,250.0,200.0,166.7,False
PG,Procter & Gamble,Dow30,144.44,151.76,-4.823,-6.313,-9.724,7.331,10.742,142.2,137.0,1.59,MILD DIP,16145,3.411,2.96,4.27,3.0,67,30,173.8,16.9,False,False,False,False,False,6.42,False,1.5,-5.4,減益,生活必需品,Household & Personal Products,—,0,142.3,106.7,85.4,71.2,False
CLX,Clorox,配当貴族,103.63,112.12,-7.574,-9.065,-13.816,9.939,14.69,102.0,96.6,1.64,MILD DIP,13366,4.751,4.83,5.01,4.91,46,47,199.8,48.1,False,False,False,False,False,-100.22,False,-0.8,-16.2,減益,生活必需品,Household & Personal Products,—,0,167.0,125.2,100.2,83.5,False
AMCR,Amcor,SP500高配当,39.75,42.2,-5.804,-7.395,-11.207,7.856,11.668,39.1,37.5,1.72,MILD DIP,3465,3.813,6.52,2.59,6.63,0,55,57.5,30.9,False,False,False,False,True,1.58,False,68.1,-32.1,減益,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
