ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6836.0,6797.83,0.562,-1640.897,-2456.101,1619.918,2435.122,-104747.5,-160163.7,-106.53,NEUTRAL,6536,815.204,3.12,213.5,0.0,0,64,7746.6,11.8,False,False,False,False,False,2.44,False,21.8,4.7,微増,27.1,True,64.2,13.9,20.7,96.0,True,金融,Insurance - Property & Casualty,RSI30以下／優良財務,2,7116.7,5337.5,4270.0,3558.3,False
VRSK,Verisk Analytics,NASDAQ100,170.63,189.08,-9.758,-6.621,-10.227,7.805,11.412,176.6,169.7,-3.36,BUY ZONE,4130,3.606,1.14,1.95,1.1,0,50,318.8,46.5,False,False,False,False,False,76.41,False,0.0,0.0,—,28.2,True,5.5,19.9,437.9,5.9,False,資本財,Consulting Services,RSI30以下,1,65.0,48.8,39.0,32.5,False
CAG,Conagra Brands,SP500高配当,14.28,15.69,-8.975,-8.371,-12.829,9.459,13.916,14.4,13.7,-0.66,BUY ZONE,11589,4.457,9.8,1.4,9.74,0,80,34.4,58.5,True,False,False,False,True,0.84,True,-1.9,39.0,—,28.9,True,0.5,8.4,-0.5,52.7,False,生活必需品,Packaged Foods,高配当／PBR1倍割れ／RSI30以下／半値,4,46.7,35.0,28.0,23.3,False
NKE,Nike,Dow30,44.2,49.93,-11.47,-11.09,-16.995,12.532,18.438,44.4,41.4,-0.43,BUY ZONE,11409,5.905,3.71,1.64,3.69,0,65,165.2,73.2,True,False,False,False,False,4.64,False,0.1,-34.8,減益,24.5,True,5.5,23.5,16.0,55.8,True,一般消費財,Footwear & Accessories,RSI30以下／優良財務／半値,3,54.7,41.0,32.8,27.3,False
VZ,Verizon,SP500高配当,45.48,48.81,-6.832,-6.784,-10.411,7.723,11.349,45.5,43.7,-0.05,BUY ZONE,10657,3.627,6.16,2.8,6.15,0,65,50.6,10.2,False,False,False,False,True,1.84,False,2.0,-53.3,減益,7.8,True,53.3,8.7,17.1,36.4,False,通信,Telecom Services,高配当／RSI30以下,2,93.3,70.0,56.0,46.7,False
T,AT&T,配当貴族,25.62,27.59,-7.137,-7.119,-10.961,8.249,12.091,25.6,24.6,-0.02,BUY ZONE,10657,3.842,0.0,0.0,0.0,0,45,28.8,11.0,False,False,False,False,False,1.63,False,3.6,-5.6,減益,13.1,True,39.0,10.1,18.8,44.6,False,通信,Telecom Services,RSI30以下,1,0.0,0.0,0.0,0.0,False
XOM,ExxonMobil,配当貴族,149.24,159.3,-6.316,-6.362,-9.834,7.528,11.0,149.2,143.6,0.05,MILD DIP,16154,3.472,0.0,0.0,0.0,0,40,171.5,13.0,False,False,False,False,False,2.4,False,-1.3,-11.0,減益,29.4,True,63.9,15.0,11.1,84.1,True,エネルギー,Oil & Gas Integrated,RSI30以下／優良財務,2,0.0,0.0,0.0,0.0,False
INTU,Intuit,NASDAQ100,366.8,422.06,-13.094,-13.473,-20.651,15.241,22.419,365.2,334.9,0.44,MILD DIP,8305,7.178,1.26,4.64,1.27,0,55,802.0,54.3,True,False,False,False,False,5.34,False,17.4,48.5,増収増益,27.7,True,5.2,13.9,23.5,73.4,True,テクノロジー,Software - Application,RSI30以下／優良財務／半値,3,154.7,116.0,92.8,77.3,False
9602.T,東宝,Nikkei225,1520.0,1640.24,-7.331,-8.725,-13.287,9.525,14.087,1497.1,1422.3,1.53,MILD DIP,6536,4.562,1.49,22.6,1.51,0,35,1931.1,21.3,False,False,False,False,False,2.48,False,0.4,-43.2,減益,35.0,False,9.2,6.2,10.3,99.7,True,通信,Entertainment,優良財務,1,753.3,565.0,452.0,376.7,False
9531.T,東京ガス,Nikkei225,6955.0,7377.03,-5.721,-7.255,-11.113,8.177,12.034,6841.8,6557.2,1.65,MILD DIP,6536,3.858,1.46,101.7,1.49,0,35,7810.3,11.0,False,False,False,False,False,1.47,False,0.0,0.0,—,31.8,False,70.7,25.6,12.1,58.3,True,公益,Utilities - Regulated Gas,優良財務,1,3390.0,2542.5,2034.0,1695.0,False
SJM,J.M. Smucker,配当貴族,92.21,97.95,-5.862,-7.462,-11.374,8.189,12.102,90.6,86.8,1.73,MILD DIP,7891,3.913,4.67,4.31,4.75,0,47,144.7,36.3,False,False,False,False,False,1.88,False,7.0,0.0,—,31.9,False,12.7,9.1,-20.7,41.1,False,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
8267.T,イオン,Nikkei225,1744.5,1905.94,-8.47,-10.222,-15.565,11.152,16.495,1711.1,1609.3,1.95,MILD DIP,6536,5.343,0.79,13.7,0.8,0,40,2868.7,39.2,False,False,False,False,False,3.96,False,11.3,75.4,増収増益,33.2,False,27.9,27.8,5.8,33.1,False,一般消費財,Department Stores,—,0,456.7,342.5,274.0,228.3,False
CVX,Chevron,Dow30,187.02,198.78,-5.917,-7.724,-11.845,8.763,12.884,183.4,175.2,1.96,MILD DIP,16154,4.122,3.81,7.12,3.88,36,40,211.1,11.4,False,False,False,False,False,1.99,False,-8.2,-23.8,減収減益,28.8,True,66.4,17.0,7.2,80.4,False,エネルギー,Oil & Gas Integrated,RSI30以下,1,237.3,178.0,142.4,118.7,False
HRL,Hormel Foods,配当貴族,20.76,21.97,-5.52,-7.598,-11.691,8.772,12.864,20.3,19.4,2.25,MILD DIP,11589,4.093,5.64,1.17,5.76,57,57,47.5,56.3,True,False,False,False,False,1.44,False,-2.9,-5.1,減益,29.6,True,3.8,13.2,6.1,95.9,False,生活必需品,Packaged Foods,RSI30以下／半値,2,39.0,29.2,23.4,19.5,False
1605.T,INPEX,Nikkei225,4035.0,4468.92,-9.71,-11.869,-18.08,12.974,19.185,3938.5,3660.9,2.45,MILD DIP,6536,6.211,2.88,116.1,2.95,0,40,4900.0,17.7,False,False,False,False,False,0.99,True,-5.3,-25.2,減収減益,30.3,False,71.2,15.0,8.5,80.1,False,エネルギー,Oil & Gas E&P,PBR1倍割れ,1,3870.0,2902.5,2322.0,1935.0,False
ADP,ADP,NASDAQ100,195.08,204.32,-4.522,-7.33,-11.333,8.682,12.685,189.3,181.2,3.03,MILD DIP,11589,4.003,3.34,6.52,3.44,48,40,318.8,38.8,False,False,False,False,False,12.3,False,6.2,11.5,増収増益,38.4,False,4.9,16.3,73.8,58.8,True,テクノロジー,Software - Application,優良財務,1,217.3,163.0,130.4,108.7,False
8058.T,三菱商事,Nikkei225,4989.0,5359.02,-6.905,-10.065,-15.467,11.545,16.947,4819.6,4530.1,3.51,MILD DIP,6536,5.402,2.21,110.1,2.28,0,35,5707.0,12.6,False,False,False,False,False,2.03,False,9.9,27.8,増収増益,28.0,True,76.2,23.5,8.5,59.1,False,資本財,Conglomerates,RSI30以下,1,3670.0,2752.5,2202.0,1835.0,False
ABT,Abbott Labs,配当貴族,101.05,104.93,-3.7,-7.08,-10.964,8.454,12.337,97.5,93.4,3.64,MILD DIP,11589,3.884,0.0,0.0,0.0,0,25,137.6,26.6,False,False,False,False,False,3.37,False,4.4,-80.9,減益,37.5,False,5.0,16.5,13.0,78.9,True,ヘルスケア,Medical Devices,優良財務,1,0.0,0.0,0.0,0.0,False
