ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7277.0,6543.22,11.214,-1641.646,-2457.217,1620.638,2436.209,-100873.2,-154237.8,-107.21,NEUTRAL,6530,815.571,2.93,213.5,0.0,4,52,7746.6,6.1,False,False,False,False,False,2.6,False,21.8,4.7,微増,71.1,False,81.4,14.8,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務,1,7116.7,5337.5,4270.0,3558.3,False
NKE,Nike,Dow30,44.03,53.57,-17.806,-11.06,-16.954,12.519,18.414,47.6,44.5,-7.59,STRONG BUY,11403,5.895,3.72,1.64,3.44,24,70,165.2,73.3,True,False,False,False,False,4.63,False,0.1,-34.8,減益,18.0,True,2.3,22.6,16.0,55.8,True,一般消費財,Footwear & Accessories,RSI30以下／優良財務／半値,3,54.7,41.0,32.8,27.3,False
MKC,McCormick,配当貴族,50.8,57.14,-11.101,-8.082,-12.372,9.076,13.365,52.5,50.1,-3.28,BUY ZONE,13369,4.289,4.49,2.28,4.34,27,60,95.9,47.0,False,False,False,False,False,1.96,False,16.7,528.3,増収増益,30.2,False,10.7,15.2,25.3,60.5,True,生活必需品,Packaged Foods,優良財務,1,76.0,57.0,45.6,38.0,False
9843.T,ニトリHD,Nikkei225,2356.0,2673.31,-11.87,-9.394,-14.389,10.585,15.58,2422.2,2288.7,-2.73,BUY ZONE,5795,4.995,1.5,35.4,1.46,21,50,4707.6,50.0,False,False,False,False,False,1.37,False,0.0,0.0,—,14.2,True,1.4,2.6,8.4,83.7,False,一般消費財,"Furnishings, Fixtures & Appliances",RSI30以下,1,1180.0,885.0,708.0,590.0,False
SYY,Sysco,配当貴族,73.24,81.18,-9.784,-8.799,-13.545,10.186,14.932,74.0,70.2,-1.08,BUY ZONE,13316,4.746,3.65,2.67,3.61,53,50,90.5,19.1,False,False,False,False,False,15.36,False,3.0,-1.2,減益,27.3,True,24.7,14.6,82.3,13.5,False,生活必需品,Food Distribution,RSI30以下,1,89.0,66.8,53.4,44.5,False
VRSK,Verisk Analytics,NASDAQ100,184.71,199.07,-7.211,-6.549,-10.128,7.768,11.347,186.0,178.9,-0.71,BUY ZONE,4124,3.579,1.06,1.95,1.05,6,50,318.8,42.1,False,False,False,False,False,82.72,False,0.0,0.0,—,24.9,True,12.7,21.5,437.9,5.9,False,資本財,Consulting Services,RSI30以下,1,65.0,48.8,39.0,32.5,False
SJM,J.M. Smucker,配当貴族,95.22,102.76,-7.338,-7.445,-11.353,8.185,12.093,95.1,91.1,0.12,MILD DIP,7885,3.908,4.53,4.31,4.53,16,52,144.7,34.2,False,False,False,False,False,1.94,False,7.0,0.0,—,11.1,True,7.4,9.5,-20.7,41.1,False,生活必需品,Packaged Foods,RSI30以下,1,143.7,107.7,86.2,71.8,False
7911.T,凸版印刷(注:代替),Nikkei225,4333.0,4756.96,-8.912,-9.37,-14.189,9.907,14.726,4311.2,4082.0,0.5,MILD DIP,6530,4.819,1.29,55.9,1.3,1,35,5787.2,25.1,False,False,False,False,False,0.93,True,0.0,0.0,—,34.4,False,33.2,16.2,5.5,73.7,False,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
CTAS,Cintas,NASDAQ100,171.69,186.13,-7.756,-8.451,-13.088,10.098,14.735,170.4,161.8,0.76,MILD DIP,10716,4.637,1.0,1.72,1.01,39,45,226.1,24.1,False,False,False,False,False,14.34,False,8.9,9.7,増収増益,25.1,True,9.6,31.6,41.3,62.1,True,資本財,Specialty Business Services,RSI30以下／優良財務,2,57.3,43.0,34.4,28.7,False
7269.T,スズキ,Nikkei225,1744.0,1934.91,-9.867,-10.642,-16.168,11.462,16.988,1729.0,1622.1,0.87,MILD DIP,6530,5.526,2.67,46.6,2.7,3,45,2421.1,28.0,False,False,False,False,False,1.02,False,15.7,20.5,増収増益,31.1,False,27.8,9.9,13.4,84.5,True,一般消費財,Auto Manufacturers,優良財務,1,1553.3,1165.0,932.0,776.7,False
SMCI,Super Micro Computer,NASDAQ100,22.05,27.38,-19.48,-20.522,-31.318,22.663,33.459,21.8,18.8,1.31,MILD DIP,4761,10.796,0.0,0.0,0.0,0,55,118.8,81.4,True,False,False,False,False,1.89,False,123.4,19.2,増収増益,28.3,True,6.0,7.3,13.2,57.1,True,テクノロジー,Computer Hardware,RSI30以下／優良財務／半値,3,0.0,0.0,0.0,0.0,False
PG,Procter & Gamble,Dow30,142.77,149.18,-4.3,-6.314,-9.726,7.331,10.742,139.8,134.7,2.15,MILD DIP,16148,3.411,2.99,4.27,3.06,67,40,173.8,17.9,False,False,False,False,False,6.35,False,1.5,-5.4,減益,19.8,True,15.1,19.5,31.6,59.3,True,生活必需品,Household & Personal Products,RSI30以下／優良財務,2,142.3,106.7,85.4,71.2,False
ABT,Abbott Labs,配当貴族,102.3,107.49,-4.828,-7.077,-10.96,8.455,12.338,99.9,95.7,2.42,MILD DIP,11583,3.883,2.92,2.99,2.99,12,40,137.6,25.7,False,False,False,False,False,3.41,False,4.4,-80.9,減益,21.2,True,3.7,16.8,13.0,78.9,True,ヘルスケア,Medical Devices,RSI30以下／優良財務,2,99.7,74.7,59.8,49.8,False
HRL,Hormel Foods,配当貴族,21.86,23.06,-5.217,-7.59,-11.681,8.771,12.862,21.3,20.4,2.57,MILD DIP,11583,4.09,5.35,1.17,5.49,57,52,48.2,54.6,True,False,False,False,False,1.52,False,-2.9,-5.1,減益,38.7,False,7.7,13.8,6.1,95.9,False,生活必需品,Packaged Foods,半値,1,39.0,29.2,23.4,19.5,False
