ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7857.0,6265.28,25.405,-1642.784,-2458.906,1621.706,2437.828,-96659.7,-147792.1,-108.13,NEUTRAL,6521,816.122,2.72,213.5,0.0,4,47,7857.0,0.0,False,False,False,False,False,2.81,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
MKC,McCormick,配当貴族,52.11,62.99,-17.277,-8.044,-12.319,9.055,13.33,57.9,55.2,-10.04,STRONG BUY,13361,4.275,4.38,2.28,3.94,27,57,95.9,45.7,False,False,False,False,False,2.44,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
SMCI,Super Micro Computer,NASDAQ100,22.23,30.37,-26.795,-20.418,-31.181,22.636,33.399,24.2,20.9,-8.01,BUY ZONE,4753,10.763,0.0,0.0,0.0,0,55,118.8,81.3,True,False,False,False,False,1.9,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
BF-B,Brown-Forman,配当貴族,22.8,25.93,-12.064,-7.883,-12.103,8.997,13.216,23.9,22.8,-4.54,BUY ZONE,11575,4.22,5.01,1.14,4.79,3,64,73.4,69.0,True,False,False,False,False,2.56,False,2.0,1.3,微増,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
AMCR,Amcor,SP500高配当,39.13,44.21,-11.487,-7.357,-11.158,7.844,11.644,41.0,39.3,-4.46,STRONG BUY,3460,3.8,6.62,2.59,6.32,0,70,57.5,32.0,False,False,False,False,True,1.55,False,68.1,-32.1,減益,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
CAG,Conagra Brands,SP500高配当,15.56,17.63,-11.759,-8.347,-12.797,9.454,13.905,16.2,15.4,-3.72,BUY ZONE,11575,4.45,9.0,1.4,8.66,0,75,34.4,54.8,True,False,False,False,True,0.92,True,-6.8,0.0,—,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
SJM,J.M. Smucker,配当貴族,96.86,107.68,-10.049,-7.415,-11.313,8.175,12.072,99.7,95.5,-2.84,BUY ZONE,7877,3.898,4.45,4.31,4.32,16,50,144.7,33.0,False,False,False,False,False,1.97,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
CLX,Clorox,配当貴族,103.07,116.42,-11.466,-9.055,-13.803,9.936,14.684,105.9,100.3,-2.65,BUY ZONE,13361,4.748,4.86,5.01,4.73,46,57,199.8,48.4,False,False,False,False,False,-99.68,False,-0.8,-16.2,減益,生活必需品,Household & Personal Products,—,0,167.0,125.2,100.2,83.5,False
PG,Procter & Gamble,Dow30,143.16,155.3,-7.815,-6.307,-9.716,7.33,10.739,145.5,140.2,-1.61,BUY ZONE,16140,3.409,2.98,4.27,2.93,67,40,173.8,17.6,False,False,False,False,False,6.36,False,1.5,-5.4,減益,生活必需品,Household & Personal Products,—,0,142.3,106.7,85.4,71.2,False
CL,Colgate-Palmolive,配当貴族,84.53,92.3,-8.418,-7.293,-11.201,8.339,12.247,85.6,82.0,-1.21,BUY ZONE,13312,3.908,3.05,2.58,3.02,60,45,105.0,19.5,False,False,False,False,False,1261.64,False,5.8,0.0,—,生活必需品,Household & Personal Products,—,0,86.0,64.5,51.6,43.0,False
