ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7218.0,7047.2,2.424,-1640.255,-2455.143,1619.296,2434.184,-108544.9,-165971.6,-106.65,NEUTRAL,6541,814.888,2.96,213.5,0.0,4,52,7746.6,6.8,False,False,False,False,False,2.58,False,21.8,4.7,微増,48.2,False,74.6,14.6,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務,1,7116.7,5337.5,4270.0,3558.3,False
9531.T,東京ガス,Nikkei225,6487.0,7221.4,-10.17,-7.272,-11.135,8.181,12.045,6696.3,6417.3,-3.13,BUY ZONE,6541,3.863,1.57,101.7,1.52,2,50,7810.3,16.9,False,False,False,False,False,1.37,False,0.0,0.0,—,23.7,True,57.1,23.9,12.1,58.3,True,公益,Utilities - Regulated Gas,RSI30以下／優良財務,2,3390.0,2542.5,2034.0,1695.0,False
ABT,Abbott Labs,配当貴族,92.72,101.84,-8.956,-7.088,-10.973,8.455,12.341,94.6,90.7,-2.01,BUY ZONE,11594,3.886,3.27,3.03,3.2,12,55,136.8,32.2,False,False,False,False,False,3.09,False,7.8,-19.7,減益,26.9,True,0.1,15.3,0.0,78.9,False,ヘルスケア,Medical Devices,RSI30以下,1,101.0,75.8,60.6,50.5,False
9602.T,東宝,Nikkei225,1442.0,1608.9,-10.374,-8.75,-13.318,9.52,14.088,1468.1,1394.6,-1.78,BUY ZONE,6541,4.568,1.57,22.6,1.54,0,50,2001.4,27.9,False,False,False,False,False,2.35,False,0.4,-43.2,減益,14.1,True,2.2,5.9,10.3,99.7,True,通信,Entertainment,RSI30以下／優良財務,2,753.3,565.0,452.0,376.7,False
1605.T,INPEX,Nikkei225,3807.0,4376.24,-13.008,-11.894,-18.113,12.98,19.199,3855.7,3583.6,-1.26,BUY ZONE,6541,6.219,3.05,116.1,3.01,5,62,4900.0,22.3,False,False,False,False,False,0.93,True,-5.3,-25.2,減収減益,22.2,True,63.7,14.2,8.5,80.1,False,エネルギー,Oil & Gas E&P,PBR1倍割れ／RSI30以下,2,3870.0,2902.5,2322.0,1935.0,False
8058.T,三菱商事,Nikkei225,4746.0,5309.55,-10.614,-10.079,-15.485,11.545,16.951,4774.4,4487.4,-0.59,BUY ZONE,6541,5.406,2.32,110.1,2.31,9,55,5707.0,16.8,False,False,False,False,False,1.93,False,9.9,27.8,増収増益,19.4,True,67.8,22.4,8.5,59.1,False,資本財,Conglomerates,RSI30以下,1,3670.0,2752.5,2202.0,1835.0,False
9532.T,大阪ガス,Nikkei225,5831.0,6302.72,-7.484,-6.993,-10.704,7.851,11.562,5862.0,5628.1,-0.53,BUY ZONE,6541,3.711,2.06,120.1,2.05,5,55,6674.5,12.6,False,False,False,False,False,1.3,False,-2.9,17.6,—,21.4,True,69.6,19.9,10.8,68.9,True,公益,Utilities - Regulated Gas,RSI30以下／優良財務,2,4003.3,3002.5,2402.0,2001.7,False
XOM,ExxonMobil,配当貴族,148.36,158.38,-6.325,-6.367,-9.842,7.529,11.003,148.3,142.8,0.05,MILD DIP,16159,3.474,3.39,5.03,3.39,42,45,171.5,13.5,False,False,False,False,False,2.39,False,-1.3,-11.0,減益,21.8,True,62.7,14.8,11.1,84.1,True,エネルギー,Oil & Gas Integrated,RSI30以下／優良財務,2,167.7,125.8,100.6,83.8,False
8267.T,イオン,Nikkei225,1665.5,1848.18,-9.884,-10.238,-15.585,11.153,16.501,1659.0,1560.1,0.39,MILD DIP,6541,5.348,0.82,13.7,0.83,2,45,2868.7,41.9,False,False,False,False,False,3.78,False,11.3,75.4,増収増益,22.8,True,19.7,26.6,5.8,33.1,False,一般消費財,Department Stores,RSI30以下,1,456.7,342.5,274.0,228.3,False
1333.T,マルハニチロ,Nikkei225,1351.0,1451.38,-6.916,-7.312,-11.237,8.391,12.317,1345.3,1288.3,0.43,MILD DIP,2945,3.926,0.0,0.0,0.0,4,40,1560.2,13.4,False,False,False,False,False,0.85,True,1.7,0.0,—,17.3,True,60.4,5.2,8.5,46.1,False,生活必需品,Packaged Foods,PBR1倍割れ／RSI30以下,2,0.0,0.0,0.0,0.0,False
