ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6933.0,6884.95,0.698,-1640.611,-2455.674,1619.64,2434.703,-106070.3,-162187.0,-106.54,NEUTRAL,6538,815.063,3.08,213.5,0.0,4,59,7746.6,10.5,False,False,False,False,False,2.48,False,21.8,4.7,微増,37.7,False,65.7,14.1,20.7,96.0,True,金融,Insurance - Property & Casualty,優良財務,1,7116.7,5337.5,4270.0,3558.3,False
XOM,ExxonMobil,配当貴族,146.44,159.07,-7.939,-6.365,-9.838,7.528,11.002,148.9,143.4,-1.68,BUY ZONE,16157,3.473,3.43,5.03,3.38,42,55,171.5,14.6,False,False,False,False,False,2.36,False,-1.3,-11.0,減益,17.8,True,60.2,14.4,11.1,84.1,True,エネルギー,Oil & Gas Integrated,RSI30以下／優良財務,2,167.7,125.8,100.6,83.8,False
9602.T,東宝,Nikkei225,1466.5,1628.22,-9.932,-8.737,-13.3,9.517,14.08,1486.0,1411.7,-1.31,BUY ZONE,6538,4.563,1.54,22.6,1.52,0,50,2001.4,26.7,False,False,False,False,False,2.39,False,0.4,-43.2,減益,28.3,True,2.8,6.0,10.3,99.7,True,通信,Entertainment,RSI30以下／優良財務,2,753.3,565.0,452.0,376.7,False
LYB,LyondellBasell,SP500高配当,66.27,75.29,-11.983,-10.953,-16.82,12.518,18.385,67.0,62.6,-1.16,BUY ZONE,3994,5.868,6.34,4.2,6.26,2,60,91.2,27.3,False,False,False,False,True,2.12,False,-9.2,0.0,—,31.3,False,58.3,12.3,-6.9,41.0,False,素材,Specialty Chemicals,高配当,1,140.0,105.0,84.0,70.0,False
CVX,Chevron,Dow30,183.99,198.06,-7.105,-7.726,-11.849,8.763,12.885,182.8,174.6,0.67,MILD DIP,16157,4.122,3.87,7.12,3.9,36,40,211.1,12.9,False,False,False,False,False,1.95,False,-8.2,-23.8,減収減益,22.0,True,62.7,15.9,7.2,80.4,False,エネルギー,Oil & Gas Integrated,RSI30以下,1,237.3,178.0,142.4,118.7,False
8267.T,イオン,Nikkei225,1704.0,1883.96,-9.552,-10.227,-15.572,11.152,16.497,1691.3,1590.6,0.75,MILD DIP,6538,5.345,0.8,13.7,0.81,2,40,2868.7,40.6,False,False,False,False,False,3.86,False,11.3,75.4,増収増益,30.8,False,22.2,27.2,5.8,33.1,False,一般消費財,Department Stores,—,0,456.7,342.5,274.0,228.3,False
ABT,Abbott Labs,配当貴族,96.81,102.96,-5.97,-7.084,-10.968,8.454,12.338,95.7,91.7,1.2,MILD DIP,11592,3.884,3.13,3.03,3.17,12,35,136.8,29.2,False,False,False,False,False,3.23,False,7.8,-19.7,減益,32.8,False,6.4,16.0,0.0,78.9,False,ヘルスケア,Medical Devices,—,0,101.0,75.8,60.6,50.5,False
1605.T,INPEX,Nikkei225,3985.0,4447.44,-10.398,-11.877,-18.09,12.975,19.188,3919.2,3642.9,1.68,MILD DIP,6538,6.213,2.91,116.1,2.96,5,45,4900.0,18.7,False,False,False,False,False,0.98,True,-5.3,-25.2,減収減益,20.9,True,69.3,14.8,8.5,80.1,False,エネルギー,Oil & Gas E&P,PBR1倍割れ／RSI30以下,2,3870.0,2902.5,2322.0,1935.0,False
9531.T,東京ガス,Nikkei225,6914.0,7329.74,-5.672,-7.257,-11.115,8.176,12.034,6797.8,6515.0,1.71,MILD DIP,6538,3.858,1.47,101.7,1.5,2,35,7810.3,11.5,False,False,False,False,False,1.46,False,0.0,0.0,—,31.6,False,69.5,25.5,12.1,58.3,True,公益,Utilities - Regulated Gas,優良財務,1,3390.0,2542.5,2034.0,1695.0,False
VRSK,Verisk Analytics,NASDAQ100,178.07,186.32,-4.427,-6.629,-10.237,7.805,11.413,174.0,167.2,2.36,MILD DIP,4133,3.608,1.1,1.95,1.12,6,35,318.8,44.2,False,False,False,False,False,79.74,False,0.0,0.0,—,45.3,False,10.2,20.7,437.9,5.9,False,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
