ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7268.0,6308.31,15.213,-1642.412,-2458.355,1621.36,2437.303,-97300.2,-148772.4,-107.47,NEUTRAL,6524,815.943,2.94,213.5,0.0,4,47,7746.6,6.2,False,False,False,False,False,2.6,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
SMCI,Super Micro Computer,NASDAQ100,21.97,29.32,-25.079,-20.462,-31.24,22.649,33.427,23.3,20.2,-5.8,BUY ZONE,4756,10.778,0.0,0.0,0.0,0,55,118.8,81.5,True,False,False,False,False,1.88,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
CTAS,Cintas,NASDAQ100,165.71,191.61,-13.519,-8.438,-13.072,10.095,14.728,175.4,166.6,-5.55,STRONG BUY,10711,4.633,1.04,1.72,0.98,39,50,226.1,26.7,False,False,False,False,False,13.84,False,8.9,9.7,増収増益,資本財,Specialty Business Services,—,0,57.3,43.0,34.4,28.7,False
MKC,McCormick,配当貴族,53.07,61.01,-13.015,-8.059,-12.339,9.063,13.344,56.1,53.5,-5.39,STRONG BUY,13364,4.281,4.3,2.28,4.06,27,57,95.9,44.7,False,False,False,False,False,2.48,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
META,Meta Platforms,NASDAQ100,525.72,625.94,-16.011,-11.997,-18.576,14.319,20.898,550.8,509.7,-4.56,BUY ZONE,3460,6.579,0.42,2.2,0.4,1,50,788.1,33.3,False,False,False,False,False,6.12,False,23.8,10.7,増収増益,通信,Internet Content & Information,—,0,73.3,55.0,44.0,36.7,False
7911.T,凸版印刷(注:代替),Nikkei225,4339.0,4949.88,-12.341,-9.334,-14.14,9.893,14.699,4487.9,4250.0,-3.32,BUY ZONE,6524,4.807,1.29,55.9,1.25,1,45,5787.2,25.0,False,False,False,False,False,0.93,True,0.0,0.0,—,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
AMCR,Amcor,SP500高配当,38.62,43.06,-10.317,-7.381,-11.189,7.851,11.659,39.9,38.2,-3.17,BUY ZONE,3463,3.808,6.71,2.59,6.49,0,65,57.5,32.8,False,False,False,False,True,1.53,False,68.1,-32.1,減益,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
SJM,J.M. Smucker,配当貴族,95.24,106.01,-10.155,-7.43,-11.333,8.181,12.084,98.1,94.0,-2.94,BUY ZONE,7880,3.903,4.53,4.31,4.39,16,57,144.7,34.2,False,False,False,False,False,1.94,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
VRSK,Verisk Analytics,NASDAQ100,182.75,200.9,-9.036,-6.523,-10.094,7.761,11.332,187.8,180.6,-2.69,BUY ZONE,4119,3.571,1.07,1.95,1.04,6,45,318.8,42.7,False,False,False,False,False,81.84,False,0.0,0.0,—,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
6361.T,荏原製作所,Nikkei225,4253.0,5034.16,-15.517,-13.619,-20.65,14.505,21.536,4348.6,3994.6,-2.2,BUY ZONE,6524,7.031,1.6,68.0,1.56,5,45,5680.0,25.1,False,False,False,False,False,3.82,False,12.3,6.2,増収増益,資本財,Specialty Industrial Machinery,—,0,2266.7,1700.0,1360.0,1133.3,False
8801.T,三井不動産,Nikkei225,1651.0,1888.52,-12.577,-11.161,-16.978,12.104,17.921,1677.7,1567.9,-1.59,BUY ZONE,6524,5.816,2.11,34.8,2.07,4,50,2126.0,22.3,False,False,False,False,False,1.42,False,22.2,22.4,増収増益,不動産,Real Estate - Diversified,—,0,1160.0,870.0,696.0,580.0,False
CLX,Clorox,配当貴族,102.04,114.02,-10.504,-9.062,-13.812,9.938,14.689,103.7,98.3,-1.59,BUY ZONE,13364,4.75,4.91,5.01,4.83,46,57,199.8,48.9,False,False,False,False,False,-98.68,False,-0.8,-16.2,減益,生活必需品,Household & Personal Products,—,0,167.0,125.2,100.2,83.5,False
7211.T,三菱自動車,Nikkei225,308.0,368.14,-16.337,-15.02,-22.395,14.482,21.858,312.8,285.7,-1.55,BUY ZONE,6524,7.375,3.25,10.0,3.2,0,67,3922.3,92.1,True,False,False,False,False,0.46,True,4.9,0.0,—,一般消費財,Auto Manufacturers,PBR1倍割れ／半値,2,333.3,250.0,200.0,166.7,False
